"","City","ProtestCount"
"400","Cadillac, MI",1
"401","Cadiz, KY",1
"402","Cairo, GA",1
"403","Calabasas, CA",3
"404","Caldwell, NJ",1
"405","Caledonia, NY",1
"406","Calexico, CA",1
"407","Calhoun, GA",1
"408","California, PA",1
"409","Callicoon, NY",2
"410","Calumet City, IL",1
"411","Camarillo, CA",2
"412","Camas, WA",1
"413","Cambridge, MA",16
"414","Cambridge, MD",2
"415","Cambridge, NY",2
"416","Cambridge, OH",1
"417","Camden, DE",1
"418","Camden, ME",2
"419","Camden, NJ",2
"420","Camdenton, MO",1
"421","Camp Hill, PA",1
"422","Canaan, NH",1
"423","Canajoharie, NY",1
"424","Canal Winchester, OH",1
"425","Canandaigua, NY",1
"426","Canfield, OH",2
"427","Canon City, CO",1
"428","Canonsburg, PA",1
"429","Canova Park, FL",1
"430","Canton, GA",1
"431","Canton, IL",1
"432","Canton, MI",1
"433","Canton, MO",1
"434","Canton, NC",2
"435","Canton, NY",1
"436","Canton, OH",2
"437","Canyon, TX",1
"438","Cape Giradeau, MO",1
"439","Cape Girardeau, MO",2
"440","Cape May Court House, NJ",1
"441","Cape May, NJ",2
"442","Cape Vincent, NY",1
"443","Capitola, CA",1
"444","Carbondale, IL",4
"445","Carbondale, PA",1
"446","Cardiff, CA",2
"447","Carefree, AZ",1
"448","Caribou, ME",2
"449","Carleton, MI",1
"450","Carlisle, PA",6
"451","Carlsbad, CA",1
"452","Carlsbad, NM",3
"453","Carlstadt, NJ",1
"454","Carmel, IN",3
"455","Carmel, NY",1
"456","Caro, MI",1
"457","Carol Stream, IL",1
"458","Carrollton, GA",2
"459","Carrollton, OH",1
"460","Carrollton, TX",1
"461","Carson City, NV",4
"462","Carson, CA",1
"463","Cartersville, GA",1
"464","Carterville, IL",1
"465","Carthage, TX",1
"466","Cary, NC",3
"467","Casa Grande, AZ",1
"468","Casper, WY",6
"469","Castle Rock, CO",1
"470","Castro Valley, CA",3
"471","Catasauqua, PA",1
"472","Catonsville, MD",1
"473","Catskill, NY",2
"474","Cazenovia, NY",1
"475","Cedar City, UT",1
"476","Cedar Hill, TX",1
"477","Cedar Park, TX",2
"478","Cedar Rapids, IA",8
"479","Cedarburg, WI",1
"480","Cedarhurst, NY",1
"481","Cedartown, GA",1
"482","Celina, TX",1
"483","Center, TX",1
"484","Centerville, OH",1
"485","Centralia, IL",1
"486","Centralia, WA",2
"487","Centreville, MA",1
"488","Cerritos, CA",1
"489","Chadron, NE",2
"490","Chagrin Falls, OH",2
"491","Chambersburg, PA",6
"492","Champaign, IL",9
"493","Chandler, AZ",2
"494","Chapel Hill, NC",7
"495","Charles City, IA",1
"496","Charles Town, WV",1
"497","Charleston, IL",1
"498","Charleston, SC",19
"499","Charleston, WV",7
"500","Charlevoix, MI",2
"501","Charlotte, NC",25
"502","Charlottesville, VA",10
"503","Chase City, VA",1
"504","Chaska, MN",1
"505","Chatham, MA",1
"506","Chatsworth, CA",1
"507","Chattanooga, TN",14
"508","Cheboygan, MI",2
"509","Chehalis, WA",3
"510","Chelsea, MI",2
"511","Chenoa, IL",1
"512","Cherry Hill, NJ",1
"513","Cherry Valley, NY",2
"514","Chesapeake, VA",3
"515","Cheshire, CT",2
"516","Chester, SC",1
"517","Chester, VT",1
"518","Chesterfield, MI",1
"519","Chesterfield, MO",2
"520","Chesterfield, VA",2
"521","Chestertown, MD",2
"522","Chevy Chase, MD",1
"523","Cheyenne, WY",3
"524","Chicago, IL",113
"525","Chico, CA",4
"526","Chicopee, MA",1
"527","Chillicothe, OH",3
"528","Chilmark, MA",1
"529","Chincoteague, VA",1
"530","Chino Hills, CA",1
"531","Chino, CA",2
"532","Chisholm, MN",1
"533","Chllicothe, OH",1
"534","Chowchilla, CA",1
"535","Christianburg, VA",2
"536","Chula Vista, CA",3
"537","Cincinnati, OH",16
"538","Citrus Heights, CA",1
"539","Clairton, PA",1
"540","Claremont, CA",2
"541","Claremont, NH",1
"542","Claremore, OK",2
"543","Clarendon, VA",1
"544","Clarion, PA",1
"545","Clarksburg, MD",2
"546","Clarksburg, WV",2
"547","Clarksdale, MS",1
"548","Clarkston, MI",1
"549","Clarksville, IN",2
"550","Clarksville, TN",6
"551","Claxton, GA",1
"552","Clayton, CA",2
"553","Clayton, GA",1
"554","Clayton, MO",4
"555","Clayton, OK",1
"556","Clearfield, PA",1
"557","Clearlake, CA",1
"558","Clearwater, FL",4
"559","Cleburne, TX",3
"560","Clemson, SC",1
"561","Clermont, FL",1
"562","Cleveland Heights, OH",1
"563","Cleveland, MS",1
"564","Cleveland, OH",17
"565","Cleveland, TN",1
"566","Clifton Heights, PA",1
"567","Clifton Park, NY",1
"568","Clifton, NJ",1
"569","Clinton Township, MI",1
"570","Clinton, CT",1
"571","Clinton, IA",1
"572","Clinton, MA",1
"573","Clinton, MD",2
"574","Clinton, NJ",1
"575","Clinton, NY",1
"576","Clinton, TN",1
"577","Cloudcroft, NM",2
"578","Cloverdale, CA",1
"579","Clovis, CA",1
"580","Clovis, NM",1
"581","Coatesville, PA",2
"582","Cobb, GA",1
"583","Cobleskill, NY",3
"584","Cockeysville, MD",2
"585","Cocoa, FL",1
"586","Cody, WY",3
"587","Coeur d'Alene, ID",12
"588","Coffeyville, KS",1
"589","Cohasset, MA",1
"590","Cohoes, NY",1
"591","Colchester, CT",1
"592","Colchester, VT",2
"593","Coldwater, MI",1
"594","Colfax, CA",1
"595","College Park, MD",2
"596","College Station, TX",9
"597","Collegeville, PA",1
"598","Colliersville, TN",1
"599","Collierville, TN",1
"600","Collingdale, PA",1
"601","Collingswood, NJ",1
"602","Collinsville, IL",1
"603","Colonial Beach, VA",1
"604","Colonie, NY",1
"605","Colorado Springs, CA",1
"606","Colorado Springs, CO",19
"607","Columbia, IL",1
"608","Columbia, MD",1
"609","Columbia, MI",1
"610","Columbia, MO",15
"611","Columbia, MS",5
"612","Columbia, PA",1
"613","Columbia, SC",25
"614","Columbus, GA",4
"615","Columbus, IN",2
"616","Columbus, MS",2
"617","Columbus, NE",1
"618","Columbus, OH",21
"619","Coluso, CA",1
"620","Commack, NY",3
"621","Commerce, TX",1
"622","Compton, CA",5
"623","Concord, CA",2
"624","Concord, NC",3
"625","Concord, NH",3
"626","Connellsville, PA",1
"627","Connersville, IN",1
"628","Conroe, TX",1
"629","Conshohocken, PA",3
"630","Conway, AR",3
"631","Conway, NH",1
"632","Conway, SC",3
"633","Conyers, GA",1
"634","Cookeville, TN",2
"635","Coolidge, AZ",1
"636","Cooperstown, NY",1
"637","Coos Bay, OR",3
"638","Copley, CA",1
"639","Coppell, TX",1
"640","Copperas Cove, TX",2
"641","Coral Gables, FL",2
"642","Coral Springs, FL",1
"643","Coralville, IA",2
"644","Coraopolis, PA",1
"645","Corbin, KY",3
"646","Cordova, AK",2
"647","Cornelius, NC",1
"648","Corning, NY",1
"649","Cornwall, CT",1
"650","Corona, CA",1
"651","Coronado, CA",2
"652","Corpus Christi, TX",2
"653","Corpus Cristi, TX",1
"654","Corry, PA",1
"655","Cortez, CO",3
"656","Cortland, NY",2
"657","Corvallis, NY",1
"658","Corvallis, OR",7
"659","Coshocton, OH",1
"660","Costa Mesa, CA",4
"661","Cottage Grove, MN",1
"662","Cottage Grove, OR",1
"663","Cottonwood Heights, UT",6
"664","Coudersport, PA",1
"665","Council Bluffs, IA",1
"666","Coventry, CT",1
"667","Covington, GA",3
"668","Covington, KY",1
"669","Covington, LA",1
"670","Covington, TN",1
"671","Covington, VA",1
"672","Covington, WA",1
"673","Coxsackie, NY",1
"674","Craig, CO",1
"675","Cranberry Township, PA",1
"676","Cranford, NJ",1
"677","Crawford, GA",1
"678","Crawfordsville, IN",2
"679","Crawfordville, FL",2
"680","Creede, CO",1
"681","Crescent City, CA",1
"682","Cresco, IA",1
"683","Crested Butte, CO",3
"684","Creve Coeur, MO",2
"685","Crofton, MD",1
"686","Cromwell, CT",1
"687","Crossett, AR",1
"688","Croton-on-Hudson, NY",1
"689","Crowley, LA",1
"690","Crown Point, IN",3
"691","Crystal Lake, IL",4
"692","Cuba, NY",1
"693","Cuero, TX",1
"694","Cullman, AL",1
"695","Culpeper, VA",1
"696","Culver City, CA",2
"697","Cumberland, MD",2
"698","Cumming, GA",2
"699","Cupertino, CA",1
"700","Cypress, CA",1
"701","Dacula, GA",1
"702","Dadeville, AL",1
"703","Dallas, OR",2
"704","Dallas, TX",37
"705","Dallastown, PA",1
"706","Dalles, OR",1
"707","Dalton, GA",4
"708","Daly City, CA",2
"709","Damascus, MD",1
"710","Dana Point, CA",2
"711","Danbury, CT",7
"712","Dania Beach, FL",1
"713","Dansville, NY",1
"714","Danville, CA",5
"715","Danville, IL",1
"716","Danville, KY",2
"717","Danville, PA",1
"718","Danville, VA",3
"719","Darien, CT",4
"720","Darlington, SC",1
"721","Dartmouth, MA",1
"722","Davenport, FL",2
"723","Davenport, IA",3
"724","Davidson, NC",1
"725","Davie, FL",1
"726","Davis, CA",2
"727","Davison, MI",1
"728","Dayton, OH",11
"729","Daytona Beach Shores, FL",1
"730","Daytona Beach, FL",1
"731","De Pere, WI",2
"732","Dearborn, MI",1
"733","Decatur, AL",1
"734","Decatur, GA",3
"735","Decatur, IL",4
"736","Decorah, IA",1
"737","Deep River, CT",1
"738","Deer Park, NY",1
"739","Deerfield, IL",2
"740","Defiance, OH",2
"741","DeForest, WI",1
"742","DeFuniak Springs, FL",3
"743","Dekalb, IL",2
"744","DeKalb, IL",3
"745","Del Rio, TX",2
"746","DeLand, FL",2
"747","Delano, CA",1
"748","Delaware, OH",1
"749","Delhi, NY",2
"750","Delmar, NY",1
"751","Delran, NJ",1
"752","Delray Beach, FL",2
"753","Deming, NM",1
"754","Denham Springs, LA",1
"755","Denison, IA",1
"756","Denison, TX",1
"757","Denton, TX",6
"758","Denver, CO",48
"759","Denville, NJ",1
"760","Derby, CT",2
"761","Derby, KS",2
"762","DeRidder, LA",1
"763","Derry Township, PA",1
"764","Derry, NH",1
"765","Des Moines, IA",41
"766","Desert Hot Springs, CA",1
"767","Detroit Lakes, MN",1
"768","Detroit, MI",102
"769","DeWitt, NY",2
"770","Diamond Bar, CA",2
"771","Dickinson, ND",3
"772","Dickinson, TX",3
"773","Dillingham, AK",1
"774","Dobbs Ferry, NY",1
"775","Dodge City, KS",1
"776","Dodgeville, WI",1
"777","Dolores, CO",1
"778","Doral, FL",2
"779","Dormont, PA",2
"780","Dothan, AL",2
"781","Douglasville, GA",1
"782","Dover, DE",3
"783","Dover, NH",1
"784","Dover, NJ",1
"785","Downers Grove, IL",1
"786","Downey, CA",1
"787","Downingtown, PA",4
"788","Doylestown, PA",3
"789","Drexel Hill, PA",2
"790","Drexel HIll, PA",1
"791","Du Quoin, IL",2
"792","Dublin, CA",1
"793","Dublin, GA",1
"794","Dublin, NH",1
"795","Dublin, OH",1
"796","DuBois, PA",2
"797","Dubois, WY",1
"798","Dubuque, IA",6
"799","Duluth, GA",1
"800","Duluth, MN",5
"801","Dumfries, VA",1
"802","Dunkirk, NY",1
"803","Dunn, NC",1
"804","Dunwoody, GA",1
"805","Durango, CO",4
"806","Durant, OK",1
"807","Durham, CT",1
"808","Durham, NC",16
"809","Duvall, WA",1
"810","Dyer, IN",1
"811","Dyersburg, TN",3
"812","Eagan, MN",1
"813","Eagle Pass, TX",1
"814","Eagleville, PA",2
"815","Easley, SC",1
"816","East Brunswick, NJ",1
"817","East Granby, CT",1
"818","East Grand Forks, MN",1
"819","East Grand Rapids, MI",1
"820","East Hampton, CT",1
"821","East Hartford, CT",1
"822","East Haven, CT",2
"823","East Lansing, MI",6
"824","East Liverpool, OH",1
"825","East Longmeadow, MA",1
"826","East Los Angeles, CA",1
"827","East Lyme, CT",1
"828","East Meadow, NY",5
"829","East Orange, NJ",1
"830","East Palo Alto, CA",8
"831","East Petersburg, PA",1
"832","East Pittsburgh, PA",1
"833","East Saint Louis, IL",1
"834","East Spencer, NC",1
"835","East Stroudsberg, PA",1
"836","East Stroudsburg, PA",1
"837","East Tawas, MI",1
"838","Easthampton, MA",1
"839","Easton, MA",3
"840","Easton, MD",3
"841","Easton, PA",3
"842","Eastpointe, MI",1
"843","Eastsound, WA",2
"844","Eaton, NH",1
"845","Eaton, OH",1
"846","Eau Claire, WI",2
"847","Ebensburg, PA",2
"848","Eddyville, KY",1
"849","Edgewater, IL",1
"850","Edgewater, MD",1
"851","Edgewood, MD",1
"852","Edina, MN",1
"853","Edinburg, TX",2
"854","Edison, NJ",1
"855","Edmond, OK",2
"856","Edmonds, WA",2
"857","Edna, TX",1
"858","Edwardsville, IL",2
"859","Effingham, IL",2
"860","El Cajon, CA",1
"861","El Campo, TX",1
"862","El Centro, CA",1
"863","El Cerito, CA",1
"864","El Cerrito, CA",8
"865","El Dorado, AK",2
"866","El Dorado, AR",4
"867","El Monte, CA",1
"868","El Paso, TX",10
"869","El Segundo, CA",1
"870","Elburn, IL",1
"871","Elgin, IL",5
"872","Elizabeth City, NC",2
"873","Elizabeth, NJ",2
"874","Elizabethton, TN",2
"875","Elizabethtown, KY",1
"876","Elizabethtown, NY",1
"877","Elizabethtown, PA",2
"878","Elk Grove Village, IL",2
"879","Elkhart, IN",2
"880","Elkin, NC",2
"881","Elko, NV",4
"882","Elkton, MD",4
"883","Ellensburg, WA",4
"884","Ellington, CT",2
"885","Ellsworth, ME",4
"886","Ellwood City, PA",3
"887","Elmhurst, IL",1
"888","Elmira, NY",3
"889","Elsmere, KY",1
"890","Ely, WI",1
"891","Elyria, OH",1
"892","Emmaus, PA",3
"893","Emporia, KS",2
"894","Encinitas, CA",11
"895","Encino, CA",1
"896","Endicott, NY",1
"897","Enfield, CT",1
"898","Englewood, CO",1
"899","Englewood, NJ",2
"900","Englewood, OH",1
"901","Enid, OK",2
"902","Enterprise, OR",1
"903","Ephrata, PA",2
"904","Erie, CO",1
"905","Erie, PA",7
"906","Erlanger, KY",1
"907","Escanaba, MI",1
"908","Escondido, CA",2
"909","Española, NM",1
"910","Essex Junction, VT",1
"911","Essex, MA",1
"912","Essex, VT",2
"913","Estacada, OR",2
"914","Estes Park, CO",4
"915","Euclid, OH",2
"916","Eugene, OR",31
"917","Eureka, CA",1
"918","Eureka, MO",1
"919","Evans, GA",2
"920","Evanston, IL",5
"921","Evansville, IN",10
"922","Everett, MA",1
"923","Everett, WA",5
"924","Evergreen Park, IL",1
"925","Evergreen, CO",2
"926","Exeter, PA",2
"927","Exmore, VA",1
"928","Fair Lawn, NJ",1
"929","Fairbanks, AK",3
"930","Fairborn, OH",1
"931","Fairfax, CA",3
"932","Fairfax, VA",3
"933","Fairfield, CA",14
"934","Fairfield, CT",3
"935","Fairfield, IA",1
"936","Fairfield, OH",1
"937","Fairmont, NC",1
"938","Fairmont, WV",2
"939","Fairport, NY",1
"940","Fall River, MA",3
"941","Fallon, NV",1
"942","Falls Church, MD",1
"943","Falls Church, VA",1
"944","Fallston, MD",1
"945","Falmouth, MA",2
"946","Fargo, ND",8
"947","Farmingdale, NY",1
"948","Farmington, CT",2
"949","Farmington, MO",1
"950","Farmington, NM",7
"951","Farmville, VA",1
"952","Farrell, PA",5
"953","Fayetteville, AR",3
"954","Fayetteville, NC",12
"955","Fayetteville, WV",1
"956","Federal Way, WA",1
"957","Felton, CA",1
"958","Fergus Falls, MN",1
"959","Ferguson, MO",5
"960","Ferndale, MI",2
"961","Ferndale, WA",2
"962","Ferrisburgh, VT",1
"963","Festus, MO",1
"964","Findlay, OH",1
"965","Fircrest, WA",1
"966","Fishers, IN",1
"967","Fitchburg, MA",1
"968","Flagstaff, AZ",4
"969","Fleetwood, PA",2
"970","Flemington, NJ",3
"971","Flint, MI",4
"972","Flora, IL",1
"973","Floral Park, NY",1
"974","Florence, AL",6
"975","Florence, MA",1
"976","Florence, OR",4
"977","Florence, SC",2
"978","Floresville, TX",1
"979","Florissant, MO",8
