"","City","VictimsCount"
"316","Delhi, LA",1
"317","Delray Beach, FL",2
"318","Deming, WA",1
"319","Denham Springs, LA",2
"320","Denton, TX",3
"321","Denver, CO",11
"322","Deptford, NJ",1
"323","Des Moines, IA",3
"324","Des Moines, WA",1
"325","DeSoto, TX",1
"326","Detroit, MI",31
"327","DeValls Bluff, AR",1
"328","Dewey Beach, DE",1
"329","DeWitt, NY",2
"330","Dickinson, ND",1
"331","Dinwiddie, VA",1
"332","District Heights, MD",2
"333","Dixon, CA",1
"334","Dodson, LA",1
"335","Dolton, IL",4
"336","Doral, FL",1
"337","Dorchester, MA",2
"338","Dothan, AL",1
"339","Douglasville, GA",2
"340","Dover, NC",1
"341","Dover, OH",1
"342","Dover, PA",1
"343","Dumfries, VA",1
"344","Duncanville, TX",2
"345","Durham, NC",9
"346","Dyersburg, TN",1
"347","Eagan, MN",1
"348","East Cleveland, OH",1
"349","East Hazel Crest, IL",1
"350","East Knoxville, TN",1
"351","East Leavenworth, MO",1
"352","East Orange, NJ",2
"353","East Pittsburgh, PA",1
"354","East Point, GA",5
"355","East St Louis, IL",1
"356","East Troy, WI",1
"357","Eastaboga, AL",1
"358","Eastman, GA",1
"359","Eau Claire, WI",1
"360","Eclectic, AL",1
"361","Eddyville, KY",1
"362","Edmond, OK",1
"363","Edmonds, WA",1
"364","Edwards, MS",1
"365","Efland, NC",1
"366","El Cajon, CA",1
"367","El Dorado, AR",1
"368","El Monte, CA",1
"369","El Paso, TX",3
"370","Elgin, IL",2
"371","Elizabeth City, NC",2
"372","Elizabethtown, KY",3
"373","Elizabethtown, NC",1
"374","Elk Grove, CA",1
"375","Elkhart, IN",4
"376","Elkin, NC",1
"377","Elkton, MD",1
"378","Ellenwood, GA",1
"379","Elmwood Place, OH",1
"380","Elyria, OH",1
"381","Emeryville, CA",1
"382","Emporia, VA",1
"383","Englewood, NJ",1
"384","Englewood, OH",1
"385","Ennis, TX",1
"386","Enterprise, MS",1
"387","Erie, PA",1
"388","Essex, MD",1
"389","Ethel, LA",1
"390","Euclid, OH",2
"391","Eufaula, AL",2
"392","Eufaula, OK",1
"393","Evans, CO",1
"394","Evanston, IL",1
"395","Evansville, IN",4
"396","Evergreen, AL",1
"397","Excelsior Springs, MO",1
"398","Fairbanks, AK",1
"399","Fairburn, GA",1
"400","Fairfield Township, OH",1
"401","Fairfield, CA",2
"402","Fairfield, OH",1
"403","Falcon Heights, MN",1
"404","Fall River, MA",1
"405","Farmington, NM",1
"406","Farmville, VA",1
"407","Fayette, MS",1
"408","Fayetteville, AR",1
"409","Fayetteville, NC",12
"410","Federal Heights, CO",1
"411","Federal Way, WA",3
"412","Fenton, MO",1
"413","Ferguson, MO",4
"414","Ferry Pass, FL",1
"415","Fife, WA",1
"416","Flemington, GA",1
"417","Flint Township, MI",1
"418","Flint, MI",5
"419","Florence, MS",1
"420","Florence, SC",5
"421","Florissant, MO",1
"422","Flossmoor, IL",1
"423","Flowood, MS",1
"424","Floyd, IA",1
"425","Fontana, CA",2
"426","Fordoche, LA",1
"427","Fords, NJ",1
"428","Forest City, NC",1
"429","Forest Hill, TX",1
"430","Forest Park, GA",1
"431","Forrest City, AR",1
"432","Fort Atkinson, WI",1
"433","Fort Belvoir, VA",1
"434","Fort Chiswell, VA",1
"435","Fort George Meade, MD",1
"436","Fort Lauderdale, FL",9
"437","Fort Madison, IA",1
"438","Fort Meyers, FL",1
"439","Fort Myers, FL",3
"440","Fort Pierce, FL",6
"441","Fort Smith, AR",1
"442","Fort Valley, GA",1
"443","Fort Walton Beach, FL",2
"444","Fort Washington, MD",1
"445","Fort Wayne, IN",10
"446","Fort Worth, TX",17
"447","Fountain, CO",1
"448","Fountain, FL",1
"449","Frankfort, IN",1
"450","Franklin Township, PA",1
"451","Franklinton, OH",1
"452","Frederick, MD",2
"453","Fredericksburg, VA",2
"454","Freeport, TX",1
"455","Fremont, CA",2
"456","Fresno, CA",3
"457","Fridley, MN",1
"458","Frisco, TX",2
"459","Frog, TX",1
"460","Fullerton, CA",1
"461","Gadsden, AL",2
"462","Gainesville, FL",3
"463","Gaithersburg , MD",3
"464","Galesburg, MI",1
"465","Gallatin, TN",2
"466","Garden City, MI",1
"467","Gardena, CA",4
"468","Garfield Heights, OH",1
"469","Garland, TX",2
"470","Gary, IN",8
"471","Gastonia, NC",3
"472","Genesee Township, MI",1
"473","Geneva, IL",1
"474","Georgetown, KY",2
"475","Germantown, MD",1
"476","Giddings, TX",1
"477","Gladstone, MO",1
"478","Glasgow, KY",1
"479","Glen Burnie, MD",1
"480","Glendale, AZ",4
"481","Glendora, CA",1
"482","Gloucester, VA",1
"483","Gluckstadt, MS",1
"484","Goetzville, MI",1
"485","Gordo, AL",1
"486","Gordon, GA",1
"487","Grafton, WI",1
"488","Graham, NC",1
"489","Grand Prairie, TX",2
"490","Grand Rapids, MI",3
"491","Graniteville, SC",1
"492","Gray Court, SC",1
"493","Great Neck, NY",1
"494","Greenbelt, MD",1
"495","Greeneville, TN",1
"496","Greenfield, IN",1
"497","Greensboro, MD",1
"498","Greensboro, NC",4
"499","Greensburg, PA",1
"500","Greenville, MS",2
"501","Greenville, NC",4
"502","Greenville, SC",5
"503","Greenwood Village, CO",1
"504","Greenwood, SC",1
"505","Gresham, OR",1
"506","Gretna, FL",1
"507","Gretna, LA",4
"508","Griffin, GA",1
"509","Gulfport, MS",8
"510","Guymon, OK",1
"511","Gwynn Oak, MD",1
"512","Haddonfield, NJ",1
"513","Hagan, GA",1
"514","Hagerstown, MD",1
"515","Hallandale Beach, FL",2
"516","Hallsville, TX",1
"517","Hamilton Township, NJ",1
"518","Hamilton, AL",1
"519","Hamilton, OH",1
"520","Hammond, IN",1
"521","Hammond, LA",2
"522","Hampton, GA",1
"523","Hampton, VA",2
"524","Hapeville, GA",1
"525","Harbeson, DE",1
"526","Hardeeville, SC",1
"527","Harrington, DE",1
"528","Harrisburg, PA",6
"529","Hartford, CT",3
"530","Harvest, AL",1
"531","Harvey, IL",2
"532","Harvey, LA",3
"533","Harwood, MD",1
"534","Hattiesburg, MS",3
"535","Hawthorne, CA",2
"536","Hayti, MO",1
"537","Hayward, CA",3
"538","Haywood, CA",1
"539","Hazel Crest, IL",1
"540","Hazel Dell, WA",2
"541","Hazelwood, MO",1
"542","Hearne, TX",1
"543","Henderson, NC",1
"544","Henderson, NV",2
"545","Hendersonville, NC",2
"546","Herald, CA",1
"547","Herndon, VA",1
"548","Hesston, KS",1
"549","Hialeah, FL",1
"550","Hickory, NC",1
"551","High Point, NC",3
"552","Highland Mills, NY",1
"553","Highland Park, IL",1
"554","Highland Springs, VA",1
"555","Highland, CA",2
"556","Hillburn, NY",1
"557","Hilliard, OH",1
"558","Hillsboro, OR",1
"559","Hillsborough, NJ",1
"560","Hobe Sound, FL",1
"561","Holly Springs, GA",1
"562","Hollywood, FL",4
"563","Home Garden, CA",1
"564","Homestead, FL",4
"565","Homewood, IL",1
"566","Honolulu, HI",1
"567","Hope Mills, NC",3
"568","Hopewell, VA",1
"569","Horn Lake, MS",1
"570","Houma, LA",4
"571","Houston, TX",87
"572","Huber Heights, OH",1
"573","Hudson, NC",1
"574","Hueytown, AL",1
"575","Humble, TX",1
"576","Huntington Park, CA",2
"577","Huntington, WV",2
"578","Huntsville, AL",7
"579","Hurricane, WV",1
"580","Hyattsville, MD",2
"581","Idaho Falls, ID",1
"582","Imperial, CA",1
"583","Independence, LA",1
"584","Independence, MO",1
"585","Indian Head, MD",1
"586","Indian Land, SC",1
"587","Indianapolis, IN",39
"588","Indiantown, FL",1
"589","Indio, CA",1
"590","Inglewood, CA",7
"591","Inwood, WV",1
"592","Inyokern, CA",1
"593","Iota, LA",1
"594","Irving, TX",3
"595","Irvington, NJ",3
"596","Islip, NY",1
"597","Jackson, MI",1
"598","Jackson, MS",13
"599","Jackson, TN",3
"600","Jacksonville, AR",1
"601","Jacksonville, FL",37
"602","Jacksonville, NC",1
"603","Jamaica, NY",2
"604","James Island, SC",1
"605","Jamestown, ND",1
"606","Jamestown, NY",1
"607","Jasper, FL",1
"608","Jasper, GA",1
"609","Jasper, TX",1
"610","Jefferson City, MO",1
"611","Jefferson, LA",1
"612","Jeffersontown, KY",1
"613","Jeffersonville, IN",1
"614","Jeffersonville, OH",1
"615","Jennings, MO",3
"616","Jersey City, NJ",7
"617","Johns Creek, GA",1
"618","Johnson City, TN",1
"619","Johnsonville, SC",1
"620","Joliet, IL",8
"621","Jonesboro, AR",2
"622","Jonesboro, GA",4
"623","Kahului, HI",1
"624","Kalamazoo, MI",3
"625","Kannapolis, NC",1
"626","Kansas City, KS",4
"627","Kansas CIty, KS",1
"628","Kansas City, MO",24
"629","Kansas CIty, MO",4
"630","Karnack, TX",1
"631","Kathleen, GA",1
"632","Kelso, WA",1
"633","Kenner, LA",5
"634","Kennesaw, GA",1
"635","Kennewick, WA",1
"636","Kent, OH",1
"637","Kent, WA",4
"638","Kentwood, MI",2
"639","Killeen, TX",5
"640","King , NC",1
"641","King of Prussia, PA",1
