"","City","ProtestCount","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate","VictimsCountPreGF","VictimsCountPreGFBlack","VictimsCountPreGFHighThreat"
"1939","monticello, arkansas",1,"0546580",9508,3815,3344,993,5426,378,40,92,1647,1503,0.276999631404349,0.401241060159865,0.87653997378768,NA,NA,NA
"1940","monticello, illinois",1,"1750244",5695,46,41,989,4059,446,44,68,134,1547,0.381128356738113,0.00807726075504829,0.891304347826087,NA,NA,NA
"1941","monticello, new york",3,"3648175",6433,1852,1797,568,4585,265,13,18,237,864,0.188440567066521,0.287890564277942,0.970302375809935,NA,NA,NA
"1942","montoursville, pennsylvania",1,"4250720",4458,1,1,809,3070,218,24,50,130,1101,0.358631921824104,0.000224315836698071,1,NA,NA,NA
"1943","montpelier, vermont",8,"5046000",7477,123,123,1680,5717,1218,483,139,258,3520,0.615707538919013,0.016450448040658,1,2,NA,1
"1944","montrose, colorado",4,"0851745",19238,21,16,2679,13645,841,182,94,598,3796,0.278197141810187,0.00109158956232457,0.761904761904762,NA,NA,NA
"1945","montross, virginia",1,"5152952",431,79,79,65,320,32,4,0,1,101,0.315625,0.183294663573086,1,NA,NA,NA
"1946","montville, new jersey",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1947","mooresville, north carolina",1,"3744220",37835,3825,3811,6973,24673,2304,356,303,1569,9936,0.402707412961537,0.101096867979384,0.996339869281046,NA,NA,NA
"1948","moorpark, california",2,"0649138",36372,577,577,7126,24801,2739,818,410,2092,11093,0.447280351598726,0.0158638513141977,1,NA,NA,NA
"1949","moraga, california",1,"0649187",17539,121,33,4240,10979,2339,858,649,2552,8086,0.736496948720284,0.00689891099834654,0.272727272727273,NA,NA,NA
"1950","morehead, kentucky",1,"2153418",7653,247,37,435,3205,295,198,116,3096,1044,0.325741029641186,0.0322749248660656,0.149797570850202,NA,NA,NA
"1951","morehead, north carolina",1,"3744320",9413,921,921,1587,7194,675,182,85,465,2529,0.351542952460384,0.0978434080526931,1,NA,NA,NA
"1952","moreno valley, california",1,"0649270",207289,36279,36083,13349,123871,5422,583,824,14156,20178,0.162895270079357,0.17501652282562,0.99459742550787,1,1,NA
"1953","morgan hill, california",3,"0649278",44686,830,808,8565,29879,3061,963,518,2303,13107,0.438669299508016,0.0185740500380432,0.973493975903614,NA,NA,NA
"1954","morganton, north carolina",1,"3744400",16481,1357,1192,1428,11247,903,222,75,442,2628,0.23366230994932,0.0823372368181542,0.878408253500368,1,NA,1
"1955","morgantown, pennsylvania",1,"4251016",676,0,0,93,534,16,0,8,8,117,0.219101123595506,0,NA,NA,NA,NA
"1956","morgantown, west virginia",6,"5455756",30712,1263,981,3833,15023,2802,672,956,10801,8263,0.550023297610331,0.041123990622558,0.776722090261283,3,1,3
"1957","morris plains, new jersey",1,"3448210",5748,120,120,1417,4157,918,155,89,195,2579,0.620399326437335,0.0208768267223382,1,NA,NA,NA
"1958","morris, illinois",1,"1750491",14237,145,114,1239,9667,882,48,78,533,2247,0.232440260680666,0.0101847299290581,0.786206896551724,NA,NA,NA
"1959","morrison, colorado",1,"0852075",415,4,0,84,356,31,6,0,5,121,0.339887640449438,0.00963855421686747,0,NA,NA,NA
"1960","morristown, new jersey",3,"3448300",18909,1658,1605,4777,13931,2334,678,334,888,8123,0.583088076950686,0.0876831138611243,0.968033775633293,NA,NA,NA
"1961","morristown, tennessee",1,"4750280",29782,2618,2524,1911,20143,786,213,83,1042,2993,0.148587598669513,0.0879054462426969,0.964094728800611,2,NA,2
"1962","morrisville, vermont",2,"5046825",2216,116,116,363,1537,162,6,0,71,531,0.345478204294079,0.0523465703971119,1,NA,NA,NA
"1963","morro bay, california",1,"0649362",10578,135,135,1808,8113,1112,192,200,645,3312,0.408233699001602,0.0127623369256948,1,NA,NA,NA
"1964","morton grove, illinois",1,"1750647",23089,607,602,4948,17456,2038,446,335,1146,7767,0.444947296058662,0.0262895751223526,0.99176276771005,NA,NA,NA
"1965","moscow, idaho",3,"1654550",25319,391,361,3960,12692,1808,405,910,7269,7083,0.558068074377561,0.0154429479837276,0.923273657289003,NA,NA,NA
"1966","moses lake, washington",2,"5347245",23056,329,329,2157,13968,699,122,38,953,3016,0.215922107674685,0.0142696044413602,1,1,NA,1
"1967","moulton, alabama",1,"0151600",3285,448,378,280,2510,76,31,21,72,408,0.162549800796813,0.136377473363775,0.84375,NA,NA,NA
"1968","moultrie, georgia",5,"1353060",14069,6376,6129,852,8682,419,67,80,500,1418,0.163326422483299,0.453194967659393,0.961260978670013,2,NA,2
"1969","mount airy, north carolina",1,"3744800",10193,892,845,1170,7539,553,99,99,367,1921,0.254808330017244,0.087511036986167,0.947309417040359,1,NA,NA
"1970","mount clemens, michigan",2,"2655820",16315,4013,3496,1309,11673,449,88,73,652,1919,0.16439647048745,0.245969966288691,0.871168701719412,NA,NA,NA
"1971","mount dora, florida",1,"1247050",13897,2500,2465,1876,10509,1233,176,208,515,3493,0.332381768008374,0.179894941354249,0.986,NA,NA,NA
"1972","mount healthy, ohio",1,"3952752",6767,2813,2729,545,5036,117,6,25,247,693,0.137609213661636,0.415693808186789,0.970138642019197,NA,NA,NA
"1973","mount holly, new jersey",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1974","mount holly, north carolina",1,"3744960",15610,2458,2448,2168,10896,1008,100,85,669,3361,0.308461820851689,0.157463164638053,0.99593165174939,1,NA,NA
"1975","mount juliet, tennessee",2,"4750780",34377,2656,2656,6679,22144,2477,456,259,938,9871,0.445764089595376,0.0772609593623644,1,NA,NA,NA
"1976","mount pleasant, michigan",1,"2656020",25629,1048,569,2313,10962,1601,171,794,10558,4879,0.445083014048531,0.0408911779624644,0.54293893129771,NA,NA,NA
"1977","mount pleasant, pennsylvania",1,"4251880",4277,99,99,500,3199,143,53,0,149,696,0.217567989996874,0.0231470657002572,1,NA,NA,NA
"1978","mount pleasant, south carolina",1,"4548535",86982,3694,3574,24301,61713,10143,3229,1751,1979,39424,0.638828123734059,0.0424685567128831,0.967514889009204,NA,NA,NA
"1979","mount pocono, pennsylvania",1,"4251912",3096,535,535,284,2322,242,0,0,92,526,0.226528854435831,0.172803617571059,1,NA,NA,NA
"1980","mount shasta, california",1,"0649852",3275,50,50,501,2617,227,122,37,241,887,0.338937714940772,0.0152671755725191,1,NA,NA,NA
"1981","mount vernon, illinois",1,"1751180",14742,2349,2251,1181,9979,646,134,111,414,2072,0.207636035674917,0.159340659340659,0.958280119199659,NA,NA,NA
"1982","mount vernon, iowa",1,"1954840",4451,56,22,830,2149,291,70,102,1178,1293,0.601675197766403,0.0125814423725006,0.392857142857143,NA,NA,NA
"1983","mount vernon, maine",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1984","mount vernon, new york",3,"3649121",67896,44699,44256,8262,48458,4779,841,253,3557,14135,0.291695901605514,0.658345116059856,0.990089263741918,NA,NA,NA
"1985","mount vernon, ohio",3,"3953102",16667,198,173,1470,10903,686,105,189,1409,2450,0.224708795744291,0.0118797624047519,0.873737373737374,NA,NA,NA
"1986","mount vernon, washington",2,"5347560",35026,403,375,3301,22867,1283,313,120,1391,5017,0.219399134123409,0.0115057385941872,0.930521091811414,NA,NA,NA
"1987","mountain brook, alabama",2,"0151696",20436,233,230,6384,13359,2204,2127,674,604,11389,0.85253387229583,0.0114014484243492,0.987124463519313,NA,NA,NA
"1988","mountain home, arkansas",1,"0547390",12393,9,7,1122,9303,396,80,53,524,1651,0.177469633451575,0.000726216412490922,0.777777777777778,NA,NA,NA
"1989","mountain house, california",1,"0649582",17966,1767,1767,2706,9875,1682,217,63,809,4668,0.472708860759494,0.0983524435043972,1,NA,NA,NA
"1990","mountain view, california",12,"0649651",1970,95,95,302,1350,33,7,0,125,342,0.253333333333333,0.0482233502538071,1,NA,NA,NA
"1991","mountain view, california",12,"0649670",81656,1273,1268,17555,59633,15925,2843,5124,3487,41447,0.695034628477521,0.0155897913196826,0.996072270227808,NA,NA,NA
"1992","mountlake terrace, washington",2,"5347490",21210,1594,1586,3844,15501,1276,241,245,1579,5606,0.361654086833108,0.0751532296086752,0.994981179422836,NA,NA,NA
"1993","mukilteo, washington",1,"5347735",21336,364,364,4429,15062,2736,521,252,927,7938,0.527021643871996,0.0170603674540682,1,NA,NA,NA
"1994","muncie, indiana",7,"1851876",68750,7609,6908,4853,37912,2959,338,792,14741,8942,0.23586199620173,0.110676363636364,0.90787225653831,NA,NA,NA
"1995","munster, indiana",2,"1851912",22689,883,836,4751,15983,1722,522,257,1219,7252,0.453732090345993,0.0389175371325312,0.946772366930917,NA,NA,NA
"1996","murfreesboro, tennessee",6,"4751560",136366,26172,24729,21335,81839,8074,1343,1593,14415,32345,0.395227214408778,0.191924673305663,0.944864740944521,2,1,1
"1997","murphy, north carolina",1,"3745660",1671,121,105,217,1337,76,35,10,58,338,0.2528047868362,0.0724117295032914,0.867768595041322,NA,NA,NA
"1998","murray, kentucky",3,"2154642",19171,1172,979,1729,10051,1146,116,397,5805,3388,0.337080887473883,0.0611340044859423,0.835324232081911,NA,NA,NA
"1999","murrysville, pennsylvania",1,"4252432",19782,262,249,4490,14766,2832,815,503,733,8640,0.585127996749289,0.0132443635628349,0.950381679389313,NA,NA,NA
"2000","muscatine, iowa",1,"1955110",23774,964,870,2091,15652,897,65,76,765,3129,0.199910554561717,0.0405484983595525,0.902489626556017,NA,NA,NA
"2001","muskegon, michigan",5,"2656320",37633,12035,9883,2281,25098,798,145,32,2419,3256,0.129731452705395,0.319799112481067,0.821188201080183,NA,NA,NA
"2002","muskogee, oklahoma",2,"4050050",37624,5770,5544,3500,24345,1060,330,201,1750,5091,0.209118915588417,0.153359557729109,0.960831889081456,3,1,1
"2003","myrtle beach, south carolina",4,"4549075",32700,4962,4889,4586,24072,1609,465,261,1086,6921,0.287512462612164,0.151743119266055,0.985288190245869,3,2,3
"2004","mystic, connecticut",2,"0949810",4249,59,21,914,3556,717,208,179,84,2018,0.567491563554556,0.0138856201459167,0.35593220338983,NA,NA,NA
"2005","nacogdoches, texas",2,"4850256",33200,8785,7708,2904,16188,1178,250,512,8946,4844,0.299234000494193,0.26460843373494,0.877404667046101,NA,NA,NA
"2006","nanakuli, hawaii",1,"1553900",11461,85,85,511,6897,218,22,10,602,761,0.110337828041177,0.00741645580664863,1,NA,NA,NA
"2007","nancy, kentucky",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008","nantucket, massachusetts",2,"2543755",7984,412,395,1693,5812,994,221,81,383,2989,0.514280798348245,0.0516032064128257,0.95873786407767,NA,NA,NA
"2009","nanuet, new york",1,"3649407",17517,2802,2780,3771,12934,1796,252,127,801,5946,0.45971857120767,0.159958897071416,0.99214846538187,NA,NA,NA
"2010","napa, california",5,"0650258",79074,533,481,12462,54723,3970,1688,614,4029,18734,0.342342342342342,0.00674052153678832,0.902439024390244,5,NA,3
"2011","naperville, illinois",5,"1751622",147501,7408,7228,37007,97578,22499,3750,3326,7929,66582,0.682346430547869,0.0502233883160114,0.975701943844492,NA,NA,NA
"2012","naples, florida",8,"1247625",21812,971,919,6213,19292,2877,1295,550,427,10935,0.566815260211487,0.0445167797542637,0.946446961894954,NA,NA,NA
"2013","naples, maine",1,"2348050",496,0,0,64,351,56,0,0,0,120,0.341880341880342,0,NA,NA,NA,NA
"2014","naples, new york",1,"3649429",875,7,7,70,640,58,3,0,27,131,0.2046875,0.008,1,NA,NA,NA
"2015","narberth, pennsylvania",2,"4252664",4345,268,268,1004,3066,798,337,215,109,2354,0.767775603392042,0.0616800920598389,1,NA,NA,NA
"2016","narragansett, rhode island",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017","narrowsburg, new york",6,"3649473",269,0,0,60,241,17,9,0,7,86,0.356846473029046,0,NA,NA,NA,NA
"2018","nashua, new hampshire",2,"3350260",88815,3628,3576,14133,63696,7391,740,766,3676,23030,0.361561165536297,0.040848955694421,0.985667034178611,NA,NA,NA
"2019","nashville, tennessee",78,"4752006",663750,183091,176404,118010,457591,47215,13412,9602,37370,188239,0.411369541796058,0.275843314500942,0.963477178015304,4,4,2
"2020","nashwauk, minnesota",1,"2744980",1151,20,19,75,769,30,0,0,82,105,0.136540962288687,0.0173761946133797,0.95,NA,NA,NA
"2021","nassau, new york",1,"3649506",1062,3,3,142,793,80,17,2,31,241,0.30390920554855,0.00282485875706215,1,NA,NA,NA
"2022","natchez, mississippi",1,"2850440",14981,9558,9411,1200,10325,796,148,98,560,2242,0.217142857142857,0.638008143648622,0.984620213433773,NA,NA,NA
"2023","natchitoches, louisiana",1,"2253545",17898,10283,9794,1140,9147,648,119,160,3870,2067,0.225975729747458,0.574533467426528,0.952445784304191,2,NA,2
"2024","national harbor, maryland",1,"2455018",4296,2514,2512,656,3314,608,116,14,56,1394,0.420639710319855,0.585195530726257,0.99920445505171,NA,NA,NA
"2025","naugatuck, connecticut",1,"0949880",31347,2922,2885,3238,22223,2304,235,289,1448,6066,0.272960446384377,0.0932146616901139,0.987337440109514,NA,NA,NA
"2026","navarre, florida",2,"1248050",37362,3372,3372,4128,24699,2085,264,143,2226,6620,0.268027045629378,0.0902521278304159,1,NA,NA,NA
"2027","nazareth, pennsylvania",1,"4252808",5699,0,0,629,3838,460,17,81,133,1187,0.309275664408546,0,NA,NA,NA,NA
"2028","nebraska, nebraska",1,"3133705",7273,61,49,634,4823,252,44,15,115,945,0.195936139332366,0.00838718548054448,0.80327868852459,NA,NA,NA
"2029","neenah, wisconsin",1,"5555750",25967,665,653,4058,17567,1221,464,124,981,5867,0.333978482381738,0.0256094273500982,0.981954887218045,1,NA,NA
"2030","neptune, new jersey",1,"3449920",4672,374,363,592,3226,318,16,46,205,972,0.301301921884687,0.0800513698630137,0.970588235294118,NA,NA,NA
"2031","nevada, california",2,"0650874",3144,48,2,411,2447,289,96,68,148,864,0.353085410706988,0.0152671755725191,0.0416666666666667,NA,NA,NA
"2032","new albany, indiana",1,"1852326",36647,3332,3191,3443,25408,1612,364,171,1905,5590,0.220009445843829,0.09092149425601,0.957683073229292,1,NA,1
"2033","new albany, mississippi",1,"2851000",8705,2880,2794,548,5759,268,119,29,323,964,0.167390171904845,0.330844342331993,0.970138888888889,1,NA,NA
"2034","new athens, illinois",1,"1752116",2147,14,11,144,1415,58,13,0,125,215,0.151943462897526,0.00652072659524919,0.785714285714286,NA,NA,NA
"2035","new bedford, massachusetts",2,"2545000",95239,6636,6503,7408,63772,2622,468,326,4329,10824,0.169729661920592,0.0696773380652884,0.979957805907173,NA,NA,NA
"2036","new bern, north carolina",8,"3746340",29895,9097,8869,3762,21490,1720,291,270,1344,6043,0.281200558399255,0.304298377655126,0.974936792349126,1,NA,NA
"2037","new bloomfield, pennsylvania",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2038","new braunfels, texas",1,"4850820",79438,1606,1575,12891,53115,4173,870,513,2936,18447,0.34730302174527,0.0202170245977995,0.980697384806974,NA,NA,NA
"2039","new britain, connecticut",3,"0950370",72767,9337,8832,6101,47001,2384,402,443,5216,9330,0.198506414757133,0.128313658663955,0.945914105172968,1,1,1
"2040","new brunswick, new jersey",2,"3451210",55960,9072,7720,3227,26217,1623,460,617,13574,5927,0.226074684365107,0.162115796997856,0.850970017636684,NA,NA,NA
"2041","new canaan, connecticut",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2042","new carlisle, ohio",1,"3954334",5584,10,0,564,3596,157,24,12,136,757,0.210511679644049,0.00179083094555874,0,NA,NA,NA
"2043","new castle, pennsylvania",2,"4253368",21991,2374,2244,1752,15665,536,88,36,506,2412,0.153973827002873,0.107953253603747,0.945240101095198,1,NA,1
"2044","new cumberland, pennsylvania",1,"4253464",7309,157,157,1299,5557,403,47,28,237,1777,0.319776858016916,0.0214803666712273,1,NA,NA,NA
"2045","new haven, connecticut",21,"0952000",130331,42538,41163,12659,80607,8616,3349,3491,12258,28115,0.348791047923878,0.326384359822299,0.967675960317833,NA,NA,NA
"2046","new haven, michigan",1,"2657380",4785,389,389,349,2780,103,15,19,169,486,0.174820143884892,0.0812957157784744,1,NA,NA,NA
"2047","new hope, pennsylvania",1,"4253712",2513,0,0,734,2021,378,59,46,128,1217,0.602177140029688,0,NA,NA,NA,NA
"2048","new iberia, louisiana",1,"2254035",29456,12010,11875,2402,19278,643,173,45,1023,3263,0.169260296711277,0.407726778924498,0.988759367194005,1,NA,NA
"2049","new kensington, pennsylvania",1,"4253736",12468,1303,1303,1271,9345,528,44,55,458,1898,0.203103263777421,0.10450753930061,1,2,NA,1
"2050","new lenox, illinois",1,"1752584",26454,182,178,4321,17243,2202,210,246,1130,6979,0.404743954068318,0.00687986693883723,0.978021978021978,NA,NA,NA
"2051","new london, connecticut",5,"0952280",26966,4058,3775,2305,16043,1184,299,219,4133,4007,0.24976625319454,0.150485796929467,0.930261212419911,NA,NA,NA
"2052","new london, minnesota",2,"2745682",1197,0,0,152,879,28,6,0,28,186,0.21160409556314,0,NA,NA,NA,NA
"2053","new orleans, louisiana",16,"2255000",390845,232660,225290,58954,277484,27379,12347,5577,24989,104257,0.375722564183881,0.595274341490872,0.968322874580934,4,4,4
"2054","new orleans, new york",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2055","new paltz, new york",1,"3650551",7165,463,139,536,2271,678,203,83,4175,1500,0.660501981505945,0.0646196789951151,0.300215982721382,NA,NA,NA
"2056","new philadelphia, ohio",2,"3955216",17446,231,191,1425,11896,635,101,8,456,2169,0.182330195023537,0.0132408575031526,0.826839826839827,NA,NA,NA
"2057","new port richey, florida",6,"1248500",16223,864,849,1160,12614,432,160,36,559,1788,0.141747264943713,0.053257720520249,0.982638888888889,NA,NA,NA
"2058","new providence, new jersey",1,"3451810",13049,115,91,3459,8709,1641,542,360,334,6002,0.68917212079458,0.0088129358571538,0.791304347826087,NA,NA,NA
"2059","new rochelle, new york",4,"3650617",79067,15889,15178,11325,54048,8644,2946,1153,5584,24068,0.445307874481942,0.200956151112348,0.955252061174397,NA,NA,NA
"2060","new smyrna beach, florida",4,"1248625",26457,979,971,4949,22014,1895,467,237,714,7548,0.342872717361679,0.0370034395434101,0.991828396322778,NA,NA,NA
"2061","new york, new york",793,"3651000",8419316,2046877,2006014,1315727,5935215,662673,191803,91076,469139,2261279,0.380993611857363,0.24311678050806,0.980036416452967,5,3,5
"2062","new, new york",2,"3650100",35101,3371,3306,8029,25063,4600,1263,528,1513,14420,0.575350117703388,0.0960371499387482,0.980717887867102,NA,NA,NA
"2063","new, north dakota",1,"3856740",2525,20,20,164,1446,53,31,32,142,280,0.193637621023513,0.00792079207920792,1,NA,NA,NA
"2064","new, virginia",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2065","newark, california",1,"0650916",47171,1844,1827,7295,33257,3235,349,307,2647,11186,0.336350242054304,0.0390918148862649,0.990780911062907,NA,NA,NA
"2066","newark, delaware",1,"1050670",33448,3111,2576,4375,16588,2916,247,1286,12253,8824,0.531950807812877,0.0930100454436738,0.828029572484732,NA,NA,NA
"2067","newark, new jersey",7,"3451000",281054,140888,134528,19883,182885,5659,1539,844,15318,27925,0.152691582141783,0.501284450674959,0.954857759354949,8,7,6
"2068","newark, ohio",5,"3954040",49470,1474,1350,4557,32934,1759,260,181,2337,6757,0.205167911580737,0.0297958358601172,0.915875169606513,NA,NA,NA
"2069","newberg, oregon",1,"4152100",23396,88,73,3158,14568,1100,180,152,2447,4590,0.31507413509061,0.00376132672251667,0.829545454545455,NA,NA,NA
"2070","newberry, south carolina",1,"4549570",10245,6082,5667,766,6758,356,9,10,1037,1141,0.168836934004143,0.593655441678868,0.931765866491286,NA,NA,NA
"2071","newburgh, new york",5,"3650034",28255,6919,6747,1470,16358,994,184,86,1638,2734,0.167135346619391,0.244877012918068,0.975140916317387,1,1,1
"2072","newburyport, massachusetts",3,"2545245",18077,310,310,4647,13474,2963,382,422,485,8414,0.624461926673594,0.0171488631963268,1,NA,NA,NA
"2073","newcastle, maine",3,"2348610",512,20,20,129,416,59,32,13,16,233,0.560096153846154,0.0390625,1,NA,NA,NA
"2074","newcastle, washington",1,"5348645",11750,368,365,3354,8467,1759,526,287,530,5926,0.699893704972245,0.0313191489361702,0.991847826086957,NA,NA,NA
"2075","newington, connecticut",1,"0952210",30234,1497,1475,5311,22458,2710,526,250,1483,8797,0.3917089678511,0.0495137924191308,0.985303941215765,NA,NA,NA
"2076","newland, north carolina",1,"3746740",755,1,1,70,574,27,3,0,35,100,0.174216027874564,0.00132450331125828,1,NA,NA,NA
"2077","newnan, georgia",19,"1355020",39019,12492,12307,5210,25094,1971,372,273,1840,7826,0.311867378656252,0.320151720956457,0.985190521934038,NA,NA,NA
"2078","newport beach, california",3,"0651182",85694,842,802,25687,65512,11002,5230,1982,3682,43901,0.670121504457199,0.00982565873923495,0.95249406175772,1,NA,NA
"2079","newport news, virginia",8,"5156000",179673,73785,71805,19250,116443,8739,1415,1192,13912,30596,0.262755167764486,0.410662703912107,0.973165277495426,2,1,2
"2080","newport, kentucky",1,"2155884",15123,1675,1456,1915,10947,869,244,122,590,3150,0.287750068511921,0.110758447398003,0.869253731343284,NA,NA,NA
"2081","newport, oregon",1,"4152450",10559,204,179,1335,7875,619,116,71,292,2141,0.271873015873016,0.0193200113647126,0.877450980392157,NA,NA,NA
"2082","newport, rhode island",3,"4449960",24663,1762,1563,5498,17143,2509,545,504,2248,9056,0.528262264481129,0.0714430523456189,0.887060158910329,NA,NA,NA
"2083","newport, tennessee",1,"4753000",6848,243,236,419,4682,62,42,16,109,539,0.115121742844938,0.0354848130841122,0.97119341563786,2,NA,2
"2084","newport, vermont",6,"5049000",271,0,0,0,231,0,0,0,0,0,0,0,NA,NA,NA,NA
"2085","newport, vermont",6,"5048850",4305,32,10,372,3242,159,23,14,84,568,0.175200493522517,0.00743321718931475,0.3125,NA,NA,NA
"2086","newry, pennsylvania",1,"4254024",234,0,0,21,153,8,3,0,5,32,0.209150326797386,0,NA,NA,NA,NA
"2087","newton, iowa",2,"1956505",15164,491,481,1103,10454,345,123,34,442,1605,0.153529749378228,0.0323793194407808,0.979633401221996,NA,NA,NA
"2088","newton, kansas",1,"2050475",18877,450,423,2072,12411,1185,269,45,669,3571,0.287728627830151,0.023838533665307,0.94,1,NA,1
"2089","newton, massachusetts",4,"2545560",88593,2623,2295,17383,58219,15643,6369,6687,9121,46082,0.791528538793178,0.0296073053175759,0.874952344643538,NA,NA,NA
"2090","newton, new jersey",5,"3451930",7910,372,335,1021,5939,429,146,42,477,1638,0.275804007408655,0.0470290771175727,0.900537634408602,NA,NA,NA
"2091","newton, north carolina",1,"3747000",13059,2349,2111,1241,8830,412,37,93,262,1783,0.201925254813137,0.179875947622329,0.898680289484887,NA,NA,NA
"2092","newtown, connecticut",1,"0952910",1879,16,16,462,1283,240,76,23,59,801,0.624318004676539,0.00851516764236296,1,NA,NA,NA
"2093","newtown, pennsylvania",6,"4254184",1957,3,3,444,1549,257,103,80,77,884,0.570690768237573,0.00153295861011753,1,NA,NA,NA
"2094","newtown, pennsylvania",6,"4254264",236,0,0,20,214,4,0,0,0,24,0.11214953271028,0,NA,NA,NA,NA
"2095","niagara falls, new york",2,"3651055",48252,10672,10609,3475,32936,2187,271,213,1747,6146,0.186604323536556,0.221172179391528,0.994096701649175,NA,NA,NA
"2096","nipomo, california",1,"0651476",17601,334,334,1925,11989,782,202,27,993,2936,0.244891150221036,0.0189761945344015,1,NA,NA,NA
"2097","niskayuna, new york",1,"3651262",4895,90,90,887,3212,778,150,179,180,1994,0.62079701120797,0.0183861082737487,1,NA,NA,NA
"2098","nogales, arizona",1,"0449640",20201,284,234,1121,12353,342,206,0,676,1669,0.135108880433903,0.0140587099648532,0.823943661971831,NA,NA,NA
"2099","norco, california",3,"0651560",26670,1262,370,2417,19159,1099,212,105,1864,3833,0.200062633749152,0.0473190851143607,0.293185419968304,1,1,1
"2100","norfolk, nebraska",1,"3134615",24424,406,390,2624,15689,938,237,52,1532,3851,0.245458601567978,0.0166229937766132,0.960591133004926,NA,NA,NA
"2101","norfolk, virginia",12,"5157000",244601,100649,90964,27117,152830,11921,3038,1984,23899,44060,0.288294183079238,0.411482373334533,0.903774503472464,2,1,2
"2102","normal, illinois",2,"1753234",54891,5877,4646,8246,27151,3636,394,879,16219,13155,0.48451254097455,0.107066732251189,0.79053939084567,NA,NA,NA
"2103","norman, oklahoma",5,"4052500",122837,5514,5044,17545,73310,8825,1951,3163,20105,31484,0.429463920338289,0.0448887550168109,0.914762422923468,1,NA,1
"2104","normandy park, washington",1,"5349415",6670,38,38,1883,5233,627,180,36,125,2726,0.520924899675139,0.00569715142428786,1,NA,NA,NA
"2105","norristown, pennsylvania",5,"4254656",34443,12803,12709,3018,22313,1784,151,99,1004,5052,0.226415094339623,0.371715588073048,0.992657970788097,NA,NA,NA
"2106","north adams, massachusetts",2,"2546225",12959,221,70,1199,8751,712,74,31,1211,2016,0.230373671580391,0.0170537850142758,0.316742081447964,NA,NA,NA
"2107","north andover, massachusetts",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2108","north augusta, south carolina",1,"4550695",22908,4259,4168,4365,16709,1207,326,243,802,6141,0.367526482733856,0.185917583376986,0.978633482038037,NA,NA,NA
"2109","north bend, washington",1,"5349485",6983,82,82,1496,4956,562,266,73,62,2397,0.48365617433414,0.011742803952456,1,NA,NA,NA
"2110","north bergen, new jersey",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"2111","north brunswick, new jersey",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2112","north canton, ohio",3,"3956294",17277,472,283,2644,12057,1282,331,164,1611,4421,0.366674960603799,0.0273195577935984,0.599576271186441,NA,NA,NA
"2113","north charleston, south carolina",4,"4550875",111501,49939,47358,11810,72684,3864,603,318,5603,16595,0.228317098673711,0.447879391216222,0.948316946674943,1,1,NA
"2114","north conway, new hampshire",5,"3353860",2179,0,0,626,1668,151,50,67,0,894,0.535971223021583,0,NA,NA,NA,NA
"2115","north east, maryland",2,"2456450",3620,568,568,313,2304,72,10,13,201,408,0.177083333333333,0.156906077348066,1,NA,NA,NA
"2116","north haven, connecticut",1,"0954940",23722,1016,999,4091,17828,2502,622,481,1121,7696,0.431680502580211,0.0428294410252087,0.983267716535433,NA,NA,NA
"2117","north hempstead, new york",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2118","north kingstown, rhode island",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2119","north las vegas, nevada",1,"3251800",241369,50857,50140,17518,148534,5994,1026,477,12224,25015,0.168412619332947,0.210702285711918,0.98590164579114,4,1,3
"2120","north little rock, arkansas",1,"0550450",66075,29207,28902,7855,43523,3089,736,321,3068,12001,0.275739264297038,0.442027998486568,0.989557297908036,1,1,1
"2121","north plainfield, new jersey",1,"3453280",21501,3908,3907,2578,14176,794,149,167,1066,3688,0.260158013544018,0.181758987954049,0.999744114636643,NA,NA,NA
