"","X","GEOID","NAME","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","PLACEFIPS","ProtestTotal","PostGFProtestCount","VictimsCount","BlackVictimCount","VictimCountPreGF","BlackVictimCountPreGF","VictimsPreGF2020","VictimHighThreat","AntiTrumpProtestPreGFCount","VictimsPreGF2020Blk","ProtestTotalPreGF","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate","PoliceDeathsRate","BlackVictimsRate","VictimRaceRatio"
"464",2528,1712931,"Chenoa city, Illinois",1997,37,37,215,1349,56,15,0,66,1712931,1,1,0,0,0,0,0,0,0,0,1,286,0.212008895478132,0.0185277916875313,1,0,0,NA
"465",2531,1750010,"Monmouth city, Illinois",8763,462,310,749,5434,340,45,108,1205,1750010,4,1,0,0,0,0,0,0,1,0,4,1242,0.228560912771439,0.0527216706607326,0.670995670995671,0,0,NA
"466",2538,1275812,"Wellington village, Florida",64396,7441,7441,11742,42866,4614,2214,731,3748,1275812,6,3,0,0,0,0,0,0,3,0,6,19301,0.450263612186815,0.115550655320206,1,0,0,NA
"467",2540,1220825,"Englewood CDP, Florida",15095,7,0,2026,13702,1031,118,146,173,1220825,5,1,1,0,1,0,0,1,2,0,5,3321,0.242373376149467,0.000463729711825108,0,6.62471016893011e-05,0,0
"468",2545,1268100,"South Venice CDP, Florida",13907,231,231,1843,11182,700,221,94,377,1268100,3,1,0,0,0,0,0,0,1,0,3,2858,0.255589340010732,0.0166103401164881,1,0,0,NA
"469",2548,1235050,"Jacksonville Beach city, Florida",23399,273,246,6625,18345,2468,805,624,794,1235050,4,1,0,0,0,0,0,0,1,0,4,10522,0.573562278550014,0.0116671652634728,0.901098901098901,0,0,NA
"470",2550,1248625,"New Smyrna Beach city, Florida",26457,979,971,4949,22014,1895,467,237,714,1248625,14,4,0,0,0,0,0,0,9,0,14,7548,0.342872717361679,0.0370034395434101,0.991828396322778,0,0,NA
"471",2555,1230975,"Hobe Sound CDP, Florida",14003,1200,1179,2557,11216,787,198,100,308,1230975,1,1,0,0,0,0,0,0,0,0,1,3642,0.324714693295292,0.0856959223023638,0.9825,0,0,NA
"472",2556,1235550,"Jensen Beach CDP, Florida",13479,476,473,2389,10566,867,172,83,324,1235550,4,2,0,0,0,0,0,0,2,0,4,3511,0.332292258186636,0.0353141924475109,0.993697478991597,0,0,NA
"473",2560,1254450,"Palm Springs village, Florida",24843,2918,2905,1691,16712,649,167,151,1400,1254450,3,1,0,0,0,0,0,0,0,0,3,2658,0.159047391096218,0.11745763394115,0.995544893762851,0,0,NA
