"","City","VictimsCount"
"715","Cockeysville, MD",1
"716","Cocoa, FL",6
"717","Coden, AL",1
"718","Coeburn, VA",2
"719","Coeur d'Alene, ID",4
"720","Coffeeville, MS",1
"721","Cofield, NC",1
"722","Cohasset, MN",1
"723","Colbert, OK",1
"724","Colby, KS",1
"725","Colchester, CT",1
"726","Coldwater, AR",1
"727","Coldwater, MI",1
"728","Coleman, TX",1
"729","Colfax, CA",1
"730","College Park, GA",5
"731","College Station, TX",4
"732","Colleyville, TX",1
"733","Collierville, TN",2
"734","Collinsville, IL",1
"735","Collinsville, MS",1
"736","Coloma, MI",1
"737","Colorado City, CO",3
"738","Colorado Springs, CO",29
"739","Colton, CA",1
"740","Colton, OR",1
"741","Columbia Township, MI",1
"742","Columbia, MO",8
"743","Columbia, MS",1
"744","Columbia, SC",8
"745","Columbia, TN",1
"746","Columbiana, AL",1
"747","Columbus, AR",1
"748","Columbus, GA",6
"749","Columbus, IN",1
"750","Columbus, MS",1
"751","Columbus, OH",40
"752","Colville, WA",1
"753","Commerce City, CO",4
"754","Commerce, CA",1
"755","Commerce, GA",1
"756","Compton, CA",10
"757","Concord Mills, NC",2
"758","Concord, CA",3
"759","Concord, NC",2
"760","Concord, NH",1
"761","Concord, TN",1
"762","Concord, VA",1
"763","Conifer, CO",1
"764","Connellsville, PA",1
"765","Conover, NC",1
"766","Conroe, TX",6
"767","Conshohocken , PA",1
"768","Constantania, NY",1
"769","Converse, LA",1
"770","Converse, TX",2
"771","Conway, AR",3
"772","Conyers, GA",4
"773","Cookson, OK",1
"774","Coolbaugh Township, PA",1
"775","Coon Rapids, MN",1
"776","Coos Bay, OR",2
"777","Copperas Cove, TX",1
"778","Copperhill, TN",1
"779","Coral Gables, FL",2
"780","Cordova, AL",1
"781","Cordova, TN",1
"782","Corfu, NY",1
"783","Corinth, MS",2
"784","Corkscrew, FL",1
"785","Corning, CA",1
"786","Corona, CA",4
"787","Corpus Christi, TX",21
"788","Cortez, CO",1
"789","Cosby, TN",1
"790","Coshocton, OH",2
"791","Costa Mesa, CA",2
"792","Cottondale, FL",1
"793","Cottonwood Heights, UT",1
"794","Cottonwood, AL",1
"795","Cottonwood, AZ",4
"796","Cottonwood, CA",1
"797","Counce, TN",1
"798","Council Bluffs, IA",2
"799","Coushatta, LA",2
"800","Cove, TX",1
"801","Coventry, VT",1
"802","Covina, CA",3
"803","Covington, GA",5
"804","Covington, KY",4
"805","Covington, LA",1
"806","Covington, OK",1
"807","Covington, TN",3
"808","Covington, VA",1
"809","Cowley County, KS",1
"810","Craig, CO",3
"811","Craigsville, WV",1
"812","Cranberry, PA",1
"813","Crandon, WI",2
"814","Crescent City, CA",1
"815","Crescent, WI",1
"816","Crest Hill, IL",1
"817","Crested Butte, CO",1
"818","Crestone, CO",1
"819","Crestview, FL",2
"820","Crestwood, KY",1
"821","Crofton, MD",1
"822","Crookston, MN",1
"823","Cropwell, AL",1
"824","Cross Lanes, WV",2
"825","Crossville, TN",2
"826","Crowell, TX",1
"827","Crowley, LA",4
"828","Crown Point, IN",1
"829","Crumpler, NC",1
"830","Crystal Springs, MS",1
"831","Crystal, MN",1
"832","Cuba, MO",1
"833","Cuero, TX",1
"834","Culloden, GA",1
"835","Culpeper, VA",2
"836","Culver , IN",1
"837","Culver City, CA",1
"838","Cumberland, GA",1
"839","Cumming, GA",6
"840","Cushing, OK",1
"841","Cushing, TX",1
"842","Cut Bank, MT",2
"843","Cut Off, LA",1
"844","Cuthbert, GA",1
"845","Cypress, TX",1
"846","Cyrus, MN",1
"847","Dade City, FL",1
"848","Dadeville, AL",1
"849","Dakota City, IA",1
"850","Dalhart, TX",1
"851","Dallas, GA",2
"852","Dallas, NC",1
"853","Dallas, OR",1
"854","Dallas, TX",40
"855","Dalton, GA",1
"856","Dalton, NH",1
"857","Dalzell, SC",1
"858","Damascus, VA",1
"859","Danvers, MA",1
"860","Danville, IL",3
"861","Danville, KY",1
"862","Danville, VA",1
"863","Daphne, AL",1
"864","Darlington, SC",1
"865","Dartmouth, MA",1
"866","Davella, KY",1
"867","Davenport, FL",1
"868","Davenport, IA",6
"869","Davie, FL",1
"870","Davis, CA",1
"871","Davis, OK",1
"872","Davisboro, GA",1
"873","Dayton, IA",1
"874","Dayton, OH",13
"875","Daytona Beach, FL",5
"876","De Leon, TX",1
"877","De Soto, MO",2
"878","Dearborn Heights, MI",1
"879","Dearborn, MI",2
"880","Decatur, AL",1
"881","Decatur, AR",1
"882","Decatur, GA",10
"883","Decatur, IL",2
"884","Decatur, TX",1
"885","Deer Lodge, MT",1
"886","Deer Park, TX",2
"887","Deer Park, WA",2
"888","Deerfield, IL",1
"889","DeKalb, IL",3
"890","DeKalb, TX",1
"891","Del City, OK",2
"892","Del Mar, CA",1
"893","Del Rio, TX",1
"894","Del Valle, TX",1
"895","Delancey, NY",1
"896","DeLand, FL",3
"897","Delano, CA",3
"898","Delaware, OK",1
"899","Delhi, CA",1
"900","Delray Beach, FL",2
"901","Delta Junction, AK",1
"902","Deltona, FL",4
"903","Deming, NM",5
"904","Deming, WA",1
"905","Demopolis, AL",1
"906","Denham Springs, LA",5
"907","Denison, TX",1
"908","Denton, NC",1
"909","Denton, TX",4
"910","Denver, CO",50
"911","Deposit, NY",1
"912","Deptford, NJ",2
"913","DeRidder, LA",2
"914","Derry, NH",2
"915","Des Moines, IA",11
"916","Des Moines, WA",1
"917","Des Plaines, IL",1
"918","Desert Hot Springs, CA",3
"919","Desha, AR",1
"920","DeSoto, TX",4
"921","Destin, FL",1
"922","Detroit, MI",34
"923","DeValls Bluff, AR",1
"924","Devils Lake, ND",1
"925","Dewey, AZ",2
"926","Diamond Bar, CA",1
"927","Dickinson, ND",3
"928","Dickson, TN",2
"929","Diggins, MO",1
"930","Dilley, TX",1
"931","Dillon, MT",2
"932","Dime Box, TX",1
"933","Dingess, WV",2
"934","Dinuba, CA",2
"935","Discovery Bay, CA",1
"936","District Heights, MD",2
"937","Dixon, CA",1
"938","Dodge City, KS",1
"939","Dolgeville, NY",1
"940","Dolton, IL",4
"941","Donna, TX",3
"942","Doral, FL",2
"943","Dorchester, MA",3
"944","Dorton, KY",1
"945","Dos Palos, CA",1
"946","Dothan, AL",2
"947","Dotsero, CO",1
"948","Douglas, AZ",1
"949","Douglas, GA",1
"950","Douglas, WY",1
"951","Douglasville, GA",3
"952","Dover, AR",1
"953","Dover, DE",3
"954","Dover, FL",1
"955","Dover, NC",1
"956","Dover, OH",1
"957","Dowelltown, TN",1
"958","Dowling, MI",1
"959","Downey, CA",2
"960","Doylestown, PA",1
"961","Doyline, LA",1
"962","Draper, UT",1
"963","Drennen, WV",1
"964","Drexel Hill, PA",1
"965","Driftwood, TX",1
"966","Dripping Springs, TX",1
"967","Duarte, CA",1
"968","Dublin, CA",1
"969","Dublin, NC",1
"970","Dublin, OH",1
"971","Ducor, CA",1
"972","Duluth, GA",1
"973","Duluth, MN",2
"974","Dumas, TX",1
"975","Duncan, OK",1
"976","Duncan, SC",1
"977","Duncanville, TX",1
"978","Dundalk, MD",1
"979","Dunedin, FL",1
"980","Dunelion, FL",1
"981","Dunkirk, IN",1
"982","Dunlap, TN",1
"983","Dunnellon, FL",1
"984","Dunnigan, CA",1
"985","Dunsmuir, CA",1
"986","Durand, MI",1
"987","Durango, CO",2
"988","Durham, CA",1
"989","Durham, NC",8
"990","Dyersburg, TN",3
"991","Eagan, MN",1
"992","Eagar, AZ",2
"993","Eagle Lake, FL",1
"994","Eagle Point, OR",1
"995","Eagle River, AK",1
"996","Eagle, WI",1
"997","Earlimart, CA",1
"998","Easley, SC",4
"999","East Bridgewater, MA",1
"1000","East Cape Girardeau, IL",1
"1001","East Flat Rock, NC",1
"1002","East Greenville, PA",1
"1003","East Hartford, CT",1
"1004","East Hazel Crest, IL",1
"1005","East Knoxville, TN",1
"1006","East Los Angeles, CA",6
"1007","East Moline, IL",1
"1008","East Northport, NY",1
"1009","East Orange, NJ",2
"1010","East Peoria, IL",2
"1011","East Point, GA",3
"1012","East Ridge, TN",1
"1013","East St Louis, IL",1
"1014","East Stroudsburg, PA",1
"1015","Eastaboga, AL",1
"1016","Eastman, GA",1
"1017","Easton, MA",1
