"","City","VictimsCount"
"851","Clearfield, UT",1
"852","Clearlake Oaks, CA",1
"853","Clearlake, CA",1
"854","Clearwater, FL",8
"855","Clemmons, NC",2
"856","Clemson, SC",1
"857","Clendenin, WV",1
"858","Clermont, FL",5
"859","Cleveland Heights, OH",1
"860","Cleveland, MS",1
"861","Cleveland, OH",25
"862","Cleveland, TN",6
"863","Cleveland, TX",2
"864","Clifton Forge, VA",1
"865","Clifton Park, NY",1
"866","Clifton, NJ",1
"867","Clifton, TX",1
"868","Clines Corners, NM",1
"869","Clinton, AR",1
"870","Clinton, IA",1
"871","Clinton, IL",1
"872","Clinton, LA",1
"873","Clinton, MD",1
"874","Clinton, MO",1
"875","Clinton, MS",2
"876","Clinton, MT",2
"877","Clinton, NC",2
"878","Clinton, OK",1
"879","Clinton, TN",3
"880","Clinton, UT",3
"881","Clintonville, OH",2
"882","Clio, MI",1
"883","Cloverdale, CA",1
"884","Clovis, CA",3
"885","Clovis, NM",1
"886","Clute, TX",1
"887","Clyde, NC",1
"888","Coachella, CA",3
"889","Coal City, WV",4
"890","Coalinga, CA",1
"891","Coarsegold, CA",1
"892","Cochran, GA",1
"893","Cockeysville, MD",2
"894","Cocoa Beach, FL",1
"895","Cocoa, FL",8
"896","Coconut Creek, FL",2
"897","Coden, AL",1
"898","Coeburn, VA",2
"899","Coeur d'Alene, ID",5
"900","Coffeeville, MS",1
"901","Coffeyville, KS",1
"902","Cofield, NC",1
"903","Cohasset, MA",1
"904","Cohasset, MN",1
"905","Colbert, OK",1
"906","Colby, KS",1
"907","Colchester, CT",1
"908","Coldwater, AR",1
"909","Coldwater, MI",1
"910","Coleman, TX",1
"911","Colfax, CA",1
"912","College Park, GA",7
"913","College Station, TX",4
"914","Colleyville, TX",1
"915","Collierville, TN",2
"916","Collinsville, IL",1
"917","Collinsville, MS",1
"918","Coloma, MI",1
"919","Colorado City, CO",3
"920","Colorado Springs, CO",38
"921","Colton, CA",4
"922","Colton, OR",1
"923","Columbia Heights, MN",1
"924","Columbia Township, MI",1
"925","Columbia, MD",1
"926","Columbia, MO",10
"927","Columbia, MS",1
"928","Columbia, NJ",1
"929","Columbia, SC",10
"930","Columbia, TN",1
"931","Columbiana, AL",1
"932","Columbus, AR",1
"933","Columbus, GA",12
"934","Columbus, IN",1
"935","Columbus, MS",4
"936","Columbus, NE",1
"937","Columbus, OH",63
"938","Colville, WA",1
"939","Commerce City, CO",6
"940","Commerce, CA",1
"941","Commerce, GA",2
"942","Como, TX",1
"943","Compton, CA",12
"944","Concord Mills, NC",2
"945","Concord, CA",4
"946","Concord, NC",3
"947","Concord, NH",1
"948","Concord, TN",1
"949","Concord, VA",1
"950","Conifer, CO",1
"951","Connellsville, PA",1
"952","Conover, NC",1
"953","Conroe, TX",7
"954","Conshohocken , PA",2
"955","Constantania, NY",1
"956","Converse, LA",1
"957","Converse, TX",3
"958","Convoy, OH",1
"959","Conway, AR",4
"960","Conyers, GA",4
"961","Cookson, OK",1
"962","Coolbaugh Township, PA",2
"963","Coolin, ID",1
"964","Coon Rapids, MN",1
"965","Coos Bay, OR",2
"966","Copper Center, AK",1
"967","Copperas Cove, TX",1
"968","Copperhill, TN",1
"969","Coral Gables, FL",2
"970","Coral Springs, FL",1
"971","Coralville, IA",1
"972","Coram, NY",1
"973","Corbin, KY",1
"974","Cordova, AL",1
"975","Cordova, CA",1
"976","Cordova, TN",1
"977","Corfu, NY",1
"978","Corinth, MS",2
"979","Corkscrew, FL",1
"980","Corning, CA",1
"981","Cornwall, NY",1
"982","Corona, CA",6
"983","Corpus Christi, TX",27
"984","Cortez, CO",1
"985","Corvallis, OR",1
"986","Corydon, IN",1
"987","Cosby, TN",1
"988","Coshocton, OH",2
"989","Costa Mesa, CA",2
"990","Cottage Grove, OR",2
"991","Cottondale, FL",1
"992","Cottonwood Heights, UT",2
"993","Cottonwood, AL",1
"994","Cottonwood, AZ",4
"995","Cottonwood, CA",2
"996","Counce, TN",1
"997","Council Bluffs, IA",2
"998","Council, ID",1
"999","Coushatta, LA",3
"1000","Cove, TX",1
"1001","Coventry, VT",1
"1002","Covina, CA",3
"1003","Covington, GA",6
"1004","Covington, KY",4
"1005","Covington, LA",2
"1006","Covington, OK",1
"1007","Covington, TN",3
"1008","Covington, VA",1
"1009","Cowley County, KS",1
"1010","Craig, CO",3
"1011","Craig, MO",1
"1012","Craigsville, WV",1
"1013","Cranberry, PA",1
"1014","Cranbury, NJ",1
