"","GEOID","NAME","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","PLACEFIPS","ProtestTotal","PostGFProtestCount","VictimsCount","BlackVictimCount","VictimCountPreGF","BlackVictimCountPreGF","VictimsPreGF2020","VictimHighThreat","AntiTrumpProtestPreGFCount","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate"
"256","0658870","Prunedale CDP, California",20327,268,263,1735,13353,825,290,170,1143,"0658870",NA,NA,NA,NA,NA,NA,NA,NA,NA,3020,0.226166404553284,0.0131844344959906,0.98134328358209
"257","0631393","Grover Beach city, California",13535,261,261,1912,9182,566,245,182,702,"0631393",1,2,2,NA,1,NA,NA,NA,1,2905,0.316379873665868,0.0192833394902106,1
"258","0686972","Yuba City city, California",66516,1521,1483,5339,43419,2206,515,137,3988,"0686972",2,NA,5,NA,1,NA,NA,1,NA,8197,0.188788318478086,0.0228666786938481,0.975016436554898
"259","0643294","Los Altos Hills town, California",8505,65,65,1784,6224,2129,634,764,260,"0643294",NA,NA,NA,NA,NA,NA,NA,NA,NA,5311,0.853309768637532,0.00764256319811875,1
"260","0648956","Monte Sereno city, California",3479,64,64,934,2365,494,267,176,104,"0648956",NA,NA,NA,NA,NA,NA,NA,NA,NA,1871,0.791120507399577,0.0183960908306985,1
"261","0670280","Saratoga city, California",30697,140,132,7768,23020,6817,1487,1774,1119,"0670280",5,1,2,NA,NA,NA,NA,NA,5,17846,0.775238922675934,0.00456070625794052,0.942857142857143
"262","0677000","Sunnyvale city, California",152770,2446,2413,34204,111539,29044,2663,6671,5544,"0677000",48,10,8,1,1,NA,NA,1,5,72582,0.650732030948816,0.0160109969234797,0.986508585445625
"263","0616560","Cotati city, California",7454,46,46,1043,4872,352,110,40,633,"0616560",2,NA,NA,NA,NA,NA,NA,NA,1,1545,0.317118226600985,0.00617118325731151,1
"264","0624960","Forestville CDP, California",3761,9,9,759,3063,295,127,35,174,"0624960",NA,NA,NA,NA,NA,NA,NA,NA,NA,1216,0.396996408749592,0.00239298059026855,1
"265","0630812","Graton CDP, California",1889,0,0,410,1397,184,63,0,43,"0630812",NA,NA,NA,NA,NA,NA,NA,NA,NA,657,0.470293486041518,0,NA
"266","0653266","Occidental CDP, California",823,12,12,219,793,134,22,18,26,"0653266",1,NA,NA,NA,NA,NA,NA,NA,NA,393,0.495586380832282,0.0145808019441069,1
"267","0616322","Corning city, California",7590,73,73,466,4656,70,19,6,262,"0616322",1,NA,1,NA,NA,NA,NA,NA,NA,561,0.120489690721649,0.00961791831357049,1
"268","0631260","Gridley city, California",6744,70,66,371,4025,93,54,0,356,"0631260",NA,NA,NA,NA,NA,NA,NA,NA,NA,518,0.128695652173913,0.0103795966785291,0.942857142857143
"269","0611691","Casa de Oro-Mount Helix CDP, California",19804,1273,1207,3547,14402,1960,609,350,1245,"0611691",NA,NA,NA,NA,NA,NA,NA,NA,NA,6466,0.44896542146924,0.0642799434457685,0.94815396700707
"270","0666000","San Diego city, California",1409573,90095,86394,262063,970333,118071,36321,29290,121244,"0666000",339,168,65,8,13,2,2,8,202,445745,0.459373225480325,0.0639165193998466,0.958921138797936
"271","0638520","King City city, California",13921,143,130,241,7794,32,24,24,656,"0638520",1,1,1,NA,NA,NA,NA,NA,1,321,0.0411855273287144,0.0102722505567129,0.909090909090909
"272","0664224","Salinas city, California",156143,2354,2235,8650,91753,2589,671,339,8798,"0664224",25,9,12,NA,2,NA,NA,NA,13,12249,0.133499722079932,0.0150759239927502,0.949447748513169
"273","0623182","Fairfield city, California",115282,17531,16878,15250,75730,4697,1015,433,6307,"0623182",7,20,5,2,NA,NA,NA,NA,5,21395,0.282516836128351,0.152070574764491,0.962751696993897
"274","0280770","Unalaska city, Alaska",4724,152,152,522,3421,66,16,3,63,"0280770",3,NA,NA,NA,NA,NA,NA,NA,3,607,0.177433498976907,0.0321761219305673,1
"275","0280660","Unalakleet city, Alaska",707,0,0,29,456,103,2,1,8,"0280660",1,1,NA,NA,NA,NA,NA,NA,1,135,0.296052631578947,0,NA
"276","0267020","Sand Point city, Alaska",1309,10,10,71,997,35,0,3,24,"0267020",NA,NA,NA,NA,NA,NA,NA,NA,NA,109,0.109327983951856,0.00763941940412529,1
"277","0205585","Bear Creek CDP, Alaska",1178,0,0,106,799,58,0,0,8,"0205585",NA,NA,NA,NA,NA,NA,NA,NA,NA,164,0.205256570713392,0,NA
"278","0286490","Yakutat CDP, Alaska",649,5,5,86,442,12,1,1,13,"0286490",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.226244343891403,0.00770416024653313,1
"279","0277140","Thorne Bay city, Alaska",533,0,0,87,433,15,3,0,0,"0277140",NA,NA,NA,NA,NA,NA,NA,NA,NA,105,0.242494226327945,0,NA
"280","0274830","Talkeetna CDP, Alaska",1237,11,11,164,789,27,0,0,22,"0274830",1,1,NA,NA,NA,NA,NA,NA,1,191,0.242078580481622,0.00889248181083266,1
"281","0231050","Haines CDP, Alaska",1863,0,0,232,1356,144,84,6,4,"0231050",4,1,NA,NA,NA,NA,NA,NA,4,466,0.343657817109145,0,NA
"282","0218805","Denali Park CDP, Alaska",872,6,6,242,678,142,5,7,12,"0218805",NA,NA,NA,NA,NA,NA,NA,NA,NA,396,0.584070796460177,0.00688073394495413,1
"283","0275077","Tanaina CDP, Alaska",10464,28,28,887,6468,343,37,36,408,"0275077",NA,NA,NA,NA,NA,NA,NA,NA,NA,1303,0.201453308596166,0.00267584097859327,1
"284","0637484","Johnstonville CDP, California",1132,0,0,74,751,43,10,3,38,"0637484",NA,NA,NA,NA,NA,NA,NA,NA,NA,130,0.173102529960053,0,NA
"285","0637596","Junction City CDP, California",682,0,0,102,581,19,5,15,0,"0637596",NA,NA,NA,NA,NA,NA,NA,NA,NA,141,0.242685025817556,0,NA
"286","0638024","Kelly Ridge CDP, California",2850,32,32,249,2081,40,0,9,149,"0638024",NA,NA,NA,NA,NA,NA,NA,NA,NA,298,0.143200384430562,0.0112280701754386,1
