"","City","ProtestSize"
"1865","Mifflinburg, PA",NA
"1866","Mifflintown, PA",18
"1867","Milan, TN",400
"1868","Milford, CT",200
"1869","Milford, DE",100
"1870","Milford, MA",400
"1871","Milford, NH",NA
"1872","Milford, PA",NA
"1873","Mill Valley, CA",NA
"1874","Millburn, NJ",150
"1875","Milledgeville, GA",NA
"1876","Millersville, PA",200
"1877","Millerton, NY",50.6666666666667
"1878","Millsboro, DE",24
"1879","Millville, NJ",75
"1880","Milton-Freewater, OR",40
"1881","Milton, MA",1133.33333333333
"1882","Milton, PA",200
"1883","Milton, VT",88
"1884","Milwaukee, WI",NA
"1885","Milwaukie, OR",500
"1886","Minden, LA",NA
"1887","Minden, NV",164
"1888","Mineola, NY",648.5
"1889","Minerva, OH",NA
"1890","Minneapolis, MI",NA
"1891","Minneapolis, MN",NA
"1892","Minot, ND",NA
"1893","Miramar, FL",600
"1894","Mishawaka, IN",NA
"1895","Mishawaka, NA",100
"1896","Mission Hills, CA",NA
"1897","Missoula, MT",NA
"1898","Mitchell, SD",NA
"1899","Mlwaukee, WI",500
"1900","Moab, UT",NA
"1901","Moberly, MO",100
"1902","Mobile, AL",NA
"1903","Modesto, CA",NA
"1904","Molalla, OR",NA
"1905","Moline, IL",NA
"1906","Monessen, PA",12
"1907","Monett, MO",NA
"1908","Monmouth, IL",NA
"1909","Monmouth, ME",45
"1910","Monmouth, OR",NA
"1911","Monroe Township, NJ",200
"1912","Monroe, CT",500
"1913","Monroe, GA",NA
"1914","Monroe, LA",NA
"1915","Monroe, NC",NA
"1916","Monroe, NY",NA
"1917","Monroe, WA",200
"1918","Monroeville, PA",142.5
"1919","Monrovia, CA",NA
"1920","Monson, MA",200
"1921","Mont Belvieu, TX",30
"1922","Montague, MA",185
"1923","Montague, MI",NA
"1924","Montclair, NJ",NA
"1925","Montebello, CA",100
"1926","Monterey, CA",NA
"1927","Montevideo, MN",50
"1928","Montgomery Township, PA",NA
"1929","Montgomery, AL",NA
"1930","Montgomery, NY",362.5
"1931","Montgomery, PA",NA
"1932","Montgomery, WI",92
"1933","Monticello, AR",NA
"1934","Monticello, IL",500
"1935","Monticello, NY",NA
"1936","Montoursville, PA",100
"1937","Montpelier, VT",NA
"1938","Montrose, CO",NA
"1939","Montross, VA",100
"1940","Montville, NJ",NA
"1941","Mooresville, NC",600
"1942","Moorpark, CA",NA
"1943","Moraga, CA",NA
"1944","Morehead City, NC",22
"1945","Morehead, KY",200
"1946","Moreno Valley, CA",200
"1947","Morgan Hill, CA",NA
"1948","Morganton, NC",NA
"1949","Morgantown, PA",22
"1950","Morgantown, WV",114
"1951","Morris Plains, NJ",NA
"1952","Morris, IL",150
"1953","Morrison, CO",1
"1954","Morristown, NJ",166.666666666667
"1955","Morristown, TN",100
"1956","Morrisville, VT",NA
"1957","Morro Bay, CA",200
"1958","Morton Grove, IL",200
"1959","Moscow, ID",100
"1960","Moses Lake, WA",140
"1961","Moulton, AL",NA
"1962","Moultrie, GA",NA
"1963","Mount Airy, NC",NA
"1964","Mount Clemens, MI",NA
"1965","Mount Dora, FL",300
"1966","Mount Healthy, OH",NA
"1967","Mount Holly, NC",50
"1968","Mount Holly, NJ",80
"1969","Mount Juliet, TN",150
"1970","Mount Pleasant, MI",200
"1971","Mount Pleasant, PA",100
"1972","Mount Pleasant, SC",200
"1973","Mount Pocono, PA",NA
"1974","Mount Shasta, CA",200
"1975","Mount Vernon, IA",24
"1976","Mount Vernon, IL",50
"1977","Mount Vernon, ME",32.6666666666667
"1978","Mount Vernon, NY",NA
"1979","Mount Vernon, OH",356.666666666667
"1980","Mount Vernon, WA",115
"1981","Mountain Brook, AL",NA
"1982","Mountain Home, AR",60
"1983","Mountain House, CA",300
"1984","Mountain View, CA",NA
"1985","Mountlake Terrace, WA",NA
"1986","Mukilteo, WA",225
"1987","Muncie, IN",701.428571428571
"1988","Munster, IN",NA
"1989","Murfreesboro, TN",NA
"1990","Murphy, NC",450
"1991","Murray, KY",228.666666666667
"1992","Murrysville, PA",200
"1993","Muscatine, IA",50
"1994","Muskegon, MI",NA
"1995","Muskogee, OK",NA
"1996","Myrtle Beach, SC",NA
"1997","Mystic, CT",NA
"1998","Nacogdoches, TX",NA
"1999","Nanakuli, HI",200
"2000","Nancy, KY",NA
"2001","Nantucket, MA",NA
"2002","Nanuet, NY",300
"2003","Napa, CA",NA
"2004","Naperville, IL",NA
"2005","Naples, FL",NA
"2006","Naples, ME",50
"2007","Naples, NY",50
"2008","Narberth, PA",NA
"2009","Narragansett, RI",350
"2010","Narrowsburg, NY",NA
"2011","Nashua, NH",750
"2012","Nashville, TN",NA
"2013","Nashwauk, MN",NA
"2014","Nassau, NY",NA
"2015","Natchez, MS",NA
"2016","Natchitoches, LA",NA
"2017","National Harbor, MD",NA
"2018","Naugatuck, CT",1000
"2019","Navarre, FL",NA
"2020","Nazareth, PA",NA
"2021","Nebraska City, NE",6
"2022","Neenah, WI",NA
"2023","Neptune City, NJ",NA
"2024","Nevada City, CA",50
"2025","New Albany, IN",200
"2026","New Albany, MS",200
"2027","New Athens, IL",40
"2028","New Bedford, MA",75
"2029","New Bern, NC",NA
"2030","New Bloomfield, PA",82.5
"2031","New Braunfels, TX",200
"2032","New Britain, CT",NA
"2033","New Brunswick, NJ",NA
"2034","New Canaan, CT",NA
"2035","New Carlisle, OH",100
"2036","New Castle, PA",137.5
"2037","New City, NY",165
"2038","New Cumberland, PA",NA
"2039","New Haven, CT",NA
"2040","New Haven, MI",225
"2041","New Hope, PA",25
"2042","New Iberia, LA",NA
"2043","New Kensington, PA",300
"2044","New Lenox, IL",900
"2045","New London, CT",NA
"2046","New London, MN",11.5
"2047","New Orleans, LA",NA
"2048","New Orleans, NY",300
"2049","New Paltz, NY",200
"2050","New Philadelphia, OH",125
"2051","New Port Richey, FL",NA
"2052","New Providence, NJ",300
"2053","New Rochelle, NY",NA
"2054","New Smyrna Beach, FL",NA
"2055","New Town, ND",11
"2056","New Town, VA",100
"2057","New York, NY",NA
"2058","Newark, CA",NA
"2059","Newark, DE",200
"2060","Newark, NJ",NA
"2061","Newark, OH",NA
"2062","Newberg, OR",NA
"2063","Newberry, SC",200
"2064","Newburgh, NY",NA
"2065","Newburyport, MA",NA
"2066","Newcastle, ME",NA
"2067","Newcastle, WA",62
"2068","Newington, CT",200
"2069","Newland, NC",14
"2070","Newnan, GA",NA
"2071","Newport Beach, CA",NA
"2072","Newport News, VA",NA
"2073","Newport, KY",NA
"2074","Newport, OR",200
"2075","Newport, RI",NA
"2076","Newport, TN",100
"2077","Newport, VT",74.6666666666667
"2078","Newry, PA",NA
"2079","Newton, IA",NA
"2080","Newton, KS",75
"2081","Newton, MA",NA
"2082","Newton, NC",200
"2083","Newton, NJ",NA
"2084","Newtown, CT",NA
"2085","Newtown, PA",NA
"2086","Niagara Falls, NY",61.5
"2087","Nipomo, CA",150
"2088","Niskayuna, NY",40
"2089","Nogales, AZ",NA
"2090","Norco, CA",57
"2091","Norfolk, NE",225
"2092","Norfolk, VA",NA
"2093","Normal, IL",125
"2094","Norman, OK",NA
"2095","Normandy Park, WA",102
"2096","Norristown, PA",NA
"2097","North Adams, MA",175
"2098","North Andover, MA",NA
"2099","North Augusta, SC",200
"2100","North Bend, WA",450
"2101","North Bergen, NJ",NA
"2102","North Brunswick, NJ",NA
"2103","North Canton, OH",NA
"2104","North Charleston, SC",NA
"2105","North Conway Village, NH",36
"2106","North Conway, NH",NA
"2107","North East, MD",NA
"2108","North Haven, CT",NA
"2109","North Hempstead, NY",700
"2110","North Kingstown, RI",300
"2111","North Las Vegas, NV",100
"2112","North Little Rock, AR",24
"2113","North Plainfield, NJ",NA
"2114","North Platte, NE",NA
"2115","North Wales, PA",350
"2116","North Wilkesboro, NC",200
"2117","Northampton, MA",NA
"2118","Northbrook, IL",1000
"2119","Northfield, NJ",5
"2120","Northridge, CA",NA
"2121","Norton, VA",24
"2122","Norwalk, CT",NA
"2123","Norwalk, OH",NA
"2124","Norwell, MA",200
"2125","Norwich, CT",183.333333333333
"2126","Norwich, NY",75
"2127","Norwood, CO",40
"2128","Novato, CA",NA
"2129","Novi, NY",NA
"2130","Nutley, NJ",107
"2131","Nyack, NY",1100
"2132","O'Fallon, IL",200
"2133","O'Fallon, MO",1750
"2134","O'Hara, PA",500
"2135","Oahu, HI",200
"2136","Oak Bluffs, MA",40
"2137","Oak Grove, KY",70
"2138","Oak Grove, MS",24
"2139","Oak Grove, OR",100
"2140","Oak Harbor, WA",216.666666666667
"2141","Oak Lawn, IL",200
"2142","Oak Park, IL",NA
"2143","Oak Park, MI",200
"2144","Oak Ridge, TN",200
"2145","Oakdale, CA",NA
"2146","Oakdale, MN",NA
"2147","Oakland, CA",NA
"2148","Oakland, MD",NA
"2149","Oakley, CA",200
"2150","Oakwood, OH",NA
"2151","Oberlin, LA",NA
"2152","Ocala, FL",NA
"2153","Ocean City, MA",NA
"2154","Ocean City, MD",600
"2155","Ocean City, NJ",1000
"2156","Ocean Shore, WA",NA
"2157","Ocean Township, NJ",100
"2158","Oceanside, CA",NA
"2159","Oceanside, NY",NA
"2160","Ocoee, FL",NA
"2161","Oconomowoc, WI",200
"2162","Odenton, MD",NA
"2163","Odessa, MO",200
"2164","Odessa, TX",NA
"2165","Ogden, UT",NA
"2166","Ogdensburg, NY",200
"2167","Ogen, UT",20
"2168","Oil City, PA",200
"2169","Ojai, CA",NA
"2170","Oklahoma City, OK",NA
"2171","Olathe, KS",NA
"2172","Old Fort, NC",NA
"2173","Old Lyme, CT",200
"2174","Old Saybrook, CT",NA
"2175","Olean, NY",NA
"2176","Olney, MD",NA
"2177","Olympia, WA",NA
"2178","Omaha, NE",NA
"2179","Omak, WA",450
"2180","Oneida, NY",15
"2181","Oneonta, NY",500
"2182","Ontario, CA",300
"2183","Ontario, OH",NA
"2184","Ontario, OR",200
"2185","Opelika, AL",183.333333333333
"2186","Opelousas, LA",12
"2187","Orange Park, FL",24
"2188","Orange, CA",NA
"2189","Orange, VA",200
"2190","Orangeburg, SC",NA
"2191","Orcas Island, WA",48
"2192","Oregon City, OR",NA
"2193","Oregon, IL",24
"2194","Oregon, OH",12
"2195","Oregon, WI",24
"2196","Orem, UT",30
"2197","Orland Park, IL",150
"2198","Orland, CA",50
"2199","Orlando, FL",NA
"2200","Orleans, MA",200
"2201","Ormond Beach, FL",NA
"2202","Orono, ME",NA
"2203","Oroville, CA",100
"2204","Orrville, CA",40
"2205","Oshkosh, WI",NA
"2206","Oskaloosa, IA",NA
"2207","Ossining, NY",1150
"2208","Oswego, IL",60
"2209","Oswego, NY",NA
"2210","Ottawa, IL",100
"2211","Ottumwa, IA",NA
"2212","Ouray, CO",NA
"2213","Overland Park, KS",NA
"2214","Owasso, OK",NA
"2215","Owatonna, MN",200
"2216","Owensboro, KY",NA
"2217","Owosso, MI",NA
"2218","Oxford, CT",400
"2219","Oxford, KY",NA
"2220","Oxford, MS",241.333333333333
"2221","Oxford, OH",300
"2222","Oxnard, CA",216.5
"2223","Oyster Bay, NY",150
"2224","Paducah, KY",559
"2225","Pahrump, NV",4
"2226","Painesville, OH",125
"2227","Paintsville, KY",50
"2228","Palatine, IL",250
"2229","Palatka, FL",NA
"2230","Palestine, TX",50
"2231","Palm Bay, FL",112.5
"2232","Palm Beach Gardens, FL",NA
"2233","Palm Beach, FL",1
"2234","Palm Coast, FL",100
"2235","Palm Desert, CA",252.5
"2236","Palm Springs, CA",NA
"2237","Palm Springs, FL",100
"2238","Palmdale, CA",NA
"2239","Palmer, AK",2000
"2240","Palmerton, PA",10.25
"2241","Palmetto, FL",NA
"2242","Palmyra, VA",NA
"2243","Palo Alto, CA",NA
"2244","Palos Heights, IL",NA
"2245","Palos Verdes, CA",150
"2246","Panama City Beach, FL",20
"2247","Panama City, FL",NA
"2248","Paoli, IN",NA
"2249","Paoli, PA",2000
"2250","Papillion, NE",NA
"2251","Parachute, CO",20
"2252","Paradise Valley, AZ",40
"2253","Paramount, CA",NA
"2254","Paramus, NJ",200
"2255","Paris, TN",NA
"2256","Paris, TX",NA
"2257","Park City, UT",NA
"2258","Park Rapids, MN",14.6666666666667
"2259","Park Ridge, IL",127
"2260","Parkersburg, WV",NA
"2261","Parkland, FL",NA
"2262","Parkville, MO",600
"2263","Parma, OH",NA
"2264","Parsippany, NJ",1600
"2265","Parsons, KS",500
"2266","Pasadena, CA",NA
"2267","Pasadena, MD",NA
"2268","Pascagoula, MS",NA
"2269","Pasco, WA",NA
"2270","Paso Robles, CA",100
"2271","Paterson, NJ",NA
"2272","Pauls Valley, OK",24
"2273","Payson, AZ",NA
"2274","Peabody, MA",150
"2275","Peachtree City, GA",400
"2276","Peconic, NY",200
"2277","Pecos, TX",13
"2278","Peekskill, NY",100
"2279","Pekin, IL",77
"2280","Pelham, NY",NA
"2281","Pemberton Township, NJ",100
"2282","Pembroke Pines, FL",NA
"2283","Pembroke, NC",NA
"2284","Pen Argyl, PA",300
"2285","Pendelton, OR",30
"2286","Pendleton, IN",150
"2287","Pendleton, OR",NA
"2288","Penn Hills, PA",NA
"2289","Penn Yan, NY",30
"2290","Pennington, NJ",200
"2291","Pennsauken, NJ",NA
"2292","Pennsburg, PA",600
"2293","Pennwynne, PA",24
"2294","Pensacola, FL",NA
"2295","Peoria, IL",683.333333333333
"2296","Perkasie, PA",275
"2297","Perris, CA",NA
"2298","Perry Hall, MD",NA
"2299","Perrysburg, OH",200
"2300","Perryville, MO",112
"2301","Pescadero, CA",50
"2302","Petal, MS",NA
"2303","Petaluma, CA",NA
"2304","Peterborough, NH",NA
"2305","Petersburg, VA",500
"2306","Petoskey, MI",138.75
"2307","Petosky, MI",NA
"2308","Pheonix, AZ",NA
"2309","Philadelphia, NE",NA
"2310","Philadelphia, PA",NA
"2311","Philadephia, PA",NA
"2312","Philipsburg, PA",NA
"2313","Phillipsburg, NJ",200
"2314","Phoenix City, AL",100
"2315","Phoenix, AZ",NA
"2316","Phoenixville, PA",2000
"2317","Pickens, SC",36
"2318","Pickerington, OH",200
"2319","Pierre, SD",NA
"2320","Pikeville, KY",NA
"2321","Pilot Point, TX",31.6666666666667
"2322","Pinckney, MI",27
"2323","Pinckneyville, IL",100
"2324","Pine Bluff, AR",300
"2325","Pine City, MN",NA
"2326","Pine Island, MN",36
"2327","Pine Island, NY",11
"2328","Pine Prarie, LA",NA
"2329","Pinedale, WY",55
"2330","Pinole, CA",NA
"2331","Piqua, OH",80
"2332","Pitman, NJ",NA
"2333","Pittsboro, NC",NA
"2334","Pittsburg, CA",NA
"2335","Pittsburg, KS",300
"2336","Pittsburge, PA",25
"2337","Pittsburgh, PA",NA
"2338","Pittsfield Charter Township, MI",150
"2339","Pittsfield Township, MI",500
"2340","Pittsfield, MA",NA
"2341","Pittsfield, VT",NA
"2342","Pittsford, NY",200
"2343","Pittston, PA",NA
"2344","Placentia, CA",NA
"2345","Placerville, CA",NA
"2346","Plainfield, CT",100
"2347","Plainfield, IL",100
"2348","Plainfield, NH",125
"2349","Plainfield, NJ",100
"2350","Plainview, NY",200
"2351","Plainville, CT",203
"2352","Plano, TX",427.333333333333
"2353","Plant City, FL",250
"2354","Plattsburgh, NY",306
"2355","Pleasant Hill, CA",NA
"2356","Pleasant Hills, PA",36
"2357","Pleasant Valley, NY",300
"2358","Pleasanton, CA",NA
"2359","Plymouth Meeting, PA",100
"2360","Plymouth, IN",NA
"2361","Plymouth, MA",1000
"2362","Plymouth, MI",NA
"2363","Plymouth, MN",NA
"2364","Pocatello, ID",166.666666666667
"2365","Pocomoke City, MD",NA
"2366","Point Pleasant Beach, NJ",NA
"2367","Point Reyes, CA",NA
"2368","Polson, MT",50
"2369","Pomfret, CT",NA
"2370","Pomona, CA",NA
"2371","Pompano Beach, FL",40
"2372","Ponca City, OK",200
"2373","Ponte Vedra Beach, FL",110
"2374","Pontiac, IL",100
"2375","Pontiac, MI",NA
"2376","Porland, OR",NA
"2377","Port Allegany, PA",30
"2378","Port Allen, LA",NA
"2379","Port Angeles, WA",NA
"2380","Port Arthur, TX",NA
"2381","Port Clinton, OH",NA
"2382","Port Huron, MI",NA
"2383","Port Jefferson, NY",1000
"2384","Port Jervis, NY",300
"2385","Port Orange, FL",NA
"2386","Port Orchard, WA",NA
"2387","Port Saint Lucie, FL",200
"2388","Port Townsend, WA",NA
"2389","Portage, IN",200
"2390","Portage, MI",NA
"2391","Portage, PA",50
"2392","Portales, NM",12
"2393","Porterville, CA",150
"2394","Portland, IN",NA
"2395","Portland, ME",NA
"2396","Portland, OR",NA
"2397","Portola Valley, CA",NA
"2398","Portsmouth, NH",2625
"2399","Portsmouth, OH",NA
"2400","Portsmouth, VA",NA
"2401","Potsdam, NY",NA
"2402","Pottstown, PA",NA
"2403","Pottsville, PA",NA
"2404","Poughkeepsie, NJ",NA
"2405","Poughkeepsie, NY",NA
"2406","Poulsbo, WA",NA
"2407","Poway, CA",NA
"2408","Powell, OH",NA
"2409","Prairie du Sac, WI",20
"2410","Prairie Grove, AR",NA
"2411","Prairie Village, KS",NA
"2412","Prescott Valley, AZ",NA
"2413","Prescott, AZ",650
"2414","Presque Isle, ME",NA
"2415","Preston, CT",24
"2416","Prestonburg, KY",150
"2417","Prince Frederick, MD",NA
"2418","Princeton, IL",NA
"2419","Princeton, IN",NA
"2420","Princeton, KY",70
"2421","Princeton, NJ",2000
"2422","Princeton, WV",200
"2423","Prineville, NM",200
"2424","Prineville, OR",NA
"2425","Providence, RI",NA
"2426","Provincetown, MA",100
"2427","Provo, UT",NA
"2428","Pueblo, CO",77
"2429","Pulaski, TN",200
"2430","Pulaski, WI",42
"2431","Pullman, WA",149.25
"2432","Punta Gorda, FL",650
"2433","Punxsutawney, PA",NA
"2434","Purcellville, VA",1000
"2435","Puyallup, WA",NA
"2436","Quakertown, PA",NA
"2437","Quarryville, PA",NA
"2438","Quincy, CA",NA
"2439","Quincy, FL",75
"2440","Quincy, IL",37.5
"2441","Quincy, MA",NA
"2442","Quincy, WA",1
"2443","Quinlan, TX",NA
"2444","Quitman, MS",NA
"2445","Racine, WI",NA
"2446","Radford, VA",NA
"2447","Radnor, PA",1100
"2448","Raeford, NC",1000
"2449","Rahway, NJ",NA
"2450","Raleigh, NC",NA
"2451","Ramona, CA",57.5
"2452","Rancho Cucamonga, CA",259
"2453","Rancho Mirage, CA",125
"2454","Rancho Palos Verdes, CA",100
"2455","Rancho Peñasquitos, CA",300
"2456","Rancho Santa Margarita, CA",100
"2457","Randallstown, MA",200
"2458","Randolph, MA",200
"2459","Randolph, VT",250
"2460","Rantoul, IL",NA
"2461","Rapid City, SD",NA
"2462","Ravenna, OH",40
"2463","Raymond, WA",47
"2464","Reading, MA",1000
"2465","Reading, PA",NA
"2466","Red Bank, NJ",200
"2467","Red Bank, SC",22
"2468","Red Bluff, CA",150
"2469","Red Hook, NY",200
"2470","Red Lodge, MT",150
"2471","Red Oak, TX",NA
"2472","Red Wing, MN",68
"2473","Redding, CA",NA
"2474","Redlands, CA",NA
"2475","Redmond, OR",NA
"2476","Redmond, WA",NA
"2477","Redondo Beach, CA",32
"2478","Redwood City, CA",NA
"2479","Rehoboth Beach, DE",337.5
"2480","Reisterstown, MD",NA
"2481","Reno, NV",NA
"2482","Renssleaer, NY",NA
"2483","Renton, WA",NA
"2484","Revere, MA",NA
"2485","Rexburg, ID",100
"2486","Rhinebeck, NY",NA
"2487","Rhinelander, WI",NA
"2488","Rialto, CA",50
"2489","Rice Lake, WI",NA
"2490","Richardson, TX",NA
"2491","Richland, WA",NA
"2492","Richlands, VA",75
"2493","Richmond Hill, GA",NA
"2494","Richmond, CA",NA
"2495","Richmond, IN",225
"2496","Richmond, KY",131
"2497","Richmond, OH",NA
"2498","Richmond, RI",212
"2499","Richmond, VA",NA
"2500","Ridgecrest, CA",NA
"2501","Ridgefield Park, NJ",200
"2502","Ridgefield, CT",62
"2503","Ridgefield, WA",80.3333333333333
"2504","Ridgewood, NJ",43
"2505","Ridgrecrest, CA",65
"2506","Ridgway, PA",85
"2507","Riegelsville, PA",NA
"2508","Rifle, CO",NA
"2509","Rio Grande, NJ",NA
"2510","Rio Rancho, NM",NA
"2511","Ripley, MA",NA
"2512","Ripley, WV",24
"2513","Rising Sun, MD",100
"2514","Riverdale, GA",NA
"2515","Riverhead, NY",NA
"2516","Riverside, CA",NA
"2517","Riverside, OH",75
"2518","Riverton, WY",100
"2519","Riverview, FL",512
"2520","Riverview, MI",NA
"2521","Riviera Beach, FL",NA
"2522","Roanoke, TX",NA
"2523","Roanoke, VA",NA
"2524","Robesonia, PA",200
"2525","Rochester Hills, MI",500
"2526","Rochester, MI",481.5
"2527","Rochester, MN",103.25
"2528","Rochester, NH",NA
"2529","Rochester, NY",NA
"2530","Rock Hill, SC",NA
"2531","Rock Island, IL",24
"2532","Rock Springs, WY",NA
"2533","Rockford, IL",NA
"2534","Rockford, MI",NA
"2535","Rockingham, NC",24
"2536","Rockland, ME",NA
"2537","Rockledge, FL",2750
"2538","Rockport, MA",NA
"2539","Rockridge, CA",NA
"2540","Rockville, MD",300
"2541","Rockwall, TX",NA
"2542","Rocky Hill, CT",300
"2543","Rocky Mount, NC",NA
"2544","Rocky Mount, VA",24
"2545","Rogers, AR",NA
"2546","Rogersville, TN",150
"2547","Rogue River, OR",200
"2548","Rohnert Park, CA",NA
"2549","Rolla, MO",300
"2550","Rome, GA",NA
"2551","Rome, NY",100
"2552","Romeo, MI",450
"2553","Romulus, MI",NA
"2554","Roosevelt, NY",100
"2555","Roseburg, OR",95
"2556","Roselle, NJ",200
"2557","Roseville, CA",NA
"2558","Roseville, MI",NA
"2559","Roseville, MN",NA
"2560","Roslyn, NY",122.5
"2561","Roswell, NM",NA
"2562","Round Hill, VA",375
"2563","Round Rock, TX",NA
"2564","Rowland Heights, CA",NA
"2565","Rowland, NC",40
"2566","Rowlett, TX",NA
"2567","Roxboro, NC",24.5
"2568","Royal Oak, MI",NA
"2569","Royalton, VT",600
"2570","Royersford, PA",NA
"2571","Royse City, TX",300
"2572","Rugby, ND",50
"2573","Ruidoso, NM",50
"2574","Rushville, IN",NA
"2575","Russellville, AR",200
"2576","Russellville, KY",NA
"2577","Russett, MD",NA
"2578","Ruston, LA",200
"2579","Rutherford, NJ",200
"2580","Rutland, VT",416.666666666667
"2581","Sacramento, CA",NA
"2582","Safford, AZ",20
"2583","Sag Harbor, NY",NA
"2584","Saginaw, MI",NA
"2585","Saint Albans, VT",NA
"2586","Saint Augustine, FL",NA
"2587","Saint Charles, MO",NA
"2588","Saint Clair Shores, MI",NA
"2589","Saint Cloud, FL",NA
"2590","Saint Cloud, MN",NA
"2591","Saint Francisville, LA",85
"2592","Saint George, UT",NA
"2593","Saint Helens, OR",200
"2594","Saint John, IN",NA
"2595","Saint Johns, FL",100
"2596","Saint Johnsbury, VT",175
"2597","Saint Joseph, MI",1000
"2598","Saint Joseph, MO",30
"2599","Saint Louis, MO",NA
"2600","Saint Martinville, LA",NA
"2601","Saint Mary's, PA",152
"2602","Saint Marys, PA",NA
"2603","Saint Matthews, KY",NA
"2604","Saint Paul, MI",200
"2605","Saint Paul, MN",NA
"2606","Saint Peters, MO",200
"2607","Saint Petersburg, FL",NA
"2608","Salem, MA",NA
"2609","Salem, OR",NA
"2610","Salem, VA",45.3333333333333
"2611","Salida, CO",150
"2612","Salina, KS",350
"2613","Salinas, CA",NA
"2614","Salisbury, CT",133
"2615","Salisbury, MD",80
"2616","Salisbury, NC",212.5
"2617","Salt Lake City, UT",NA
"2618","San Angelo, TX",NA
"2619","San Anselmo, CA",50
"2620","San Antonio, CA",200
"2621","San Antonio, TX",NA
"2622","San Bernadino, CA",14
"2623","San Bernardino, CA",NA
"2624","San Bruno, CA",NA
"2625","San Carlos, CA",40
"2626","San Clemente, CA",318
"2627","San Diego, CA",NA
"2628","San Francisco, CA",NA
"2629","San Gabriel, CA",NA
"2630","San Geronimo, CA",NA
"2631","San Jose, CA",NA
"2632","San Leandro, CA",NA
"2633","San Luis Obispo, CA",NA
"2634","San Luis Obispo, OR",NA
"2635","San Marcos, CA",30
"2636","San Marcos, TX",62
"2637","San Mateo, CA",NA
"2638","San Pablo, CA",NA
"2639","San Pedro, CA",350
"2640","San Rafael, CA",NA
"2641","San Ramon, CA",NA
"2642","Sandersville, GA",NA
"2643","Sandpoint, ID",NA
"2644","Sandusky, OH",440
"2645","Sandwich, IL",200
"2646","Sandy Springs, GA",150
"2647","Sandy, OR",NA
"2648","Sanford, ME",300
"2649","Sanford, NC",100
"2650","Santa Ana, CA",NA
"2651","Santa Barbara, CA",1120
"2652","Santa Clara, CA",NA
"2653","Santa Clarita, CA",310
"2654","Santa Cruz, CA",NA
"2655","Santa Fe, NM",NA
"2656","Santa Maria, CA",NA
"2657","Santa Monica, CA",NA
"2658","Santa Paula, CA",200
"2659","Santa Rosa Beach, FL",NA
"2660","Santa Rosa, CA",NA
"2661","Santee, CA",NA
"2662","Saranac Lake, NY",200
"2663","Sarasota, FL",NA
"2664","Saratoga Springs, NY",NA
"2665","Saratoga, CA",223
"2666","Saratoga, NY",150
"2667","Saugerties, NY",NA
"2668","Saugus, MA",NA
"2669","Sault Sainte Marie, MI",200
"2670","Sausalito, CA",NA
"2671","Savannah, GA",NA
"2672","Saxonburg, PA",18
"2673","Sayre, PA",55
"2674","Sayreville, NJ",250
"2675","Schaumburg, IL",60
"2676","Schellsburg, PA",NA
"2677","Schenectady, NY",NA
"2678","Schereville, IN",50
"2679","Schoolcraft, MI",100
"2680","Schwenksville, PA",250
"2681","Scituate, MA",50
"2682","Scotch Plains, NJ",550
"2683","Scottdale, PA",NA
"2684","Scotts Valley, CA",NA
"2685","Scottsbluff, NE",24
"2686","Scottsdale, AZ",NA
"2687","Scranton, PA",NA
"2688","Seaford, DE",300
"2689","Seaford, NY",150
"2690","Seaside Heights, NJ",NA
"2691","Seaside, CA",NA
"2692","Seaside, OR",NA
"2693","Seattle, WA",NA
"2694","Sebastopol, CA",NA
"2695","Sebring, FL",NA
"2696","Sedalia, MO",NA
"2697","Sedro-Woolley, WA",100
"2698","Seguin, TX",200
"2699","Selah, WA",137.5
"2700","Selinsgrove, PA",NA
"2701","Sellersville, PA",NA
"2702","Selma, AL",NA
"2703","Selma, NC",NA
"2704","Sequim, WA",150
"2705","Severna Park, MD",100
"2706","Sewickley, PA",NA
"2707","Seymour, IN",NA
"2708","Shady Side, MD",24
"2709","Shaker Heights, OH",NA
"2710","Shamokin, PA",29
"2711","Sharon, CT",NA
"2712","Sharon, MA",NA
"2713","Sharon, PA",NA
"2714","Sharpsville, PA",NA
"2715","Shawano, WI",100
"2716","Shawnee, OK",24
"2717","Sheboygan, NY",NA
"2718","Sheboygan, WI",NA
"2719","Shelburne Falls, MA",200
"2720","Shelburne, VT",300
"2721","Shelby Town, MI",12
"2722","Shelby Township, MI",NA
"2723","Shelby, NC",NA
"2724","Shelby, OH",50
"2725","Shelbyville, KY",200
"2726","Shelter Island, NY",900
"2727","Shelton, CT",120
"2728","Shenandoah, PA",36
"2729","Sheridan, AR",18
"2730","Sheridan, WY",450
"2731","Sherman Oaks, CA",NA
"2732","Sherman, TX",NA
"2733","Shippensburg, PA",NA
"2734","Shirley, NY",NA
"2735","Shoreline, WA",NA
"2736","Shoreview, MN",200
"2737","Shorewood, WI",400.5
"2738","Shreveport, LA",NA
"2739","Sidney, NE",28
"2740","Sidney, OH",45
"2741","Sierra Madre, CA",200
"2742","Sierra Vista, AZ",NA
"2743","Siler City, NC",NA
"2744","Silver City, NM",300
"2745","Silver Spring, MD",NA
"2746","Silverton, OR",200
"2747","Simi Valley, CA",NA
"2748","Simpsonville, SC",60
"2749","Simsbury, CT",NA
"2750","Sioux City, IA",NA
