"","City","ProtestSize"
"304","Boston, MA",NA
"305","Bothell, WA",NA
"306","Boulder City, NV",50
"307","Boulder, CO",211.333333333333
"308","Boulder, UT",100
"309","Bountiful, UT",200
"310","Bowling Green, KY",NA
"311","Bowling Green, OH",216.666666666667
"312","Bowling Green, VA",300
"313","Boyertown, PA",200
"314","Boynton Beach, FL",62
"315","Bozeman, MT",1673.33333333333
"316","Bradenton, FL",NA
"317","Bradford, PA",15
"318","Bradley, IL",100
"319","Brainerd, MN",40.6666666666667
"320","Braintree, MA",200
"321","Brandon, MS",NA
"322","Branford, CT",500
"323","Branson, MO",74.6666666666667
"324","Braselton, GA",100
"325","Brattleboro, VT",NA
"326","Brea, CA",300
"327","Breckinridge, CO",NA
"328","Brecksville, OH",1000
"329","Bremerton, WA",300
"330","Brentwood, CA",NA
"331","Brentwood, MO",200
"332","Brentwood, NY",200
"333","Brentwood, PA",45
"334","Brentwood, TN",130
"335","Brevard, NC",NA
"336","Brewster, NY",NA
"337","Brewton, AL",35
"338","Briarwood, NY",200
"339","Brick, NJ",300
"340","Bridgehampton, NY",600
"341","Bridgeport, CT",NA
"342","Bridgeport, PA",NA
"343","Bridgewater, CT",30
"344","Bridgewater, MA",NA
"345","Bridgewater, NJ",NA
"346","Brighton, MI",150
"347","Brighton, NY",200
"348","Bristol, CT",NA
"349","Bristol, NH",200
"350","Bristol, PA",200
"351","Bristol, RI",600
"352","Bristol, TN",NA
"353","Broadway, VA",NA
"354","Brockton, MA",NA
"355","Broken Arrow, OK",250
"356","Bronson, FL",100
"357","Brookfield, CT",NA
"358","Brookfield, MO",15
"359","Brookfield, WI",NA
"360","Brookings, OR",NA
"361","Brookings, SD",200
"362","Brookline, MA",NA
"363","Broomfield, CO",NA
"364","Brown Deer, WI",NA
"365","Brownsville, PA",100
"366","Brownsville, TX",100
"367","Brownwood, TX",200
"368","Brunswick, GA",NA
"369","Brunswick, ME",166.666666666667
"370","Bryan, OH",24
"371","Bryan, TX",NA
"372","Bryn Mawr, PA",127.5
"373","Bryson City, NC",300
"374","Bucksport, ME",NA
"375","Bucyrus, OH",100
"376","Buda, TX",50
"377","Buellton, CA",200
"378","Buena Park, CA",NA
"379","Buffalo Grove, IL",200
"380","Buffalo, MN",55
"381","Buffalo, NY",NA
"382","Bullhead City, AZ",NA
"383","Burbank, CA",NA
"384","Burien, WA",850
"385","Burke, VA",NA
"386","Burlingame, CA",NA
"387","Burlington, IA",200
"388","Burlington, NC",300
"389","Burlington, VT",NA
"390","Burlington, WA",200
"391","Burlington, WI",200
"392","Burtonsville, MD",NA
"393","Butler, AL",60
"394","Butler, PA",250
"395","Butte, MT",100
"396","Buzzards Bay, MA",200
"397","Byhalia, MS",NA
"398","Byram, NJ",NA
"399","Cabot, AR",200
"400","Cadillac, MI",300
"401","Cadiz, KY",200
"402","Cairo, GA",100
"403","Calabasas, CA",NA
"404","Caldwell, NJ",NA
"405","Caledonia, NY",24
"406","Calexico, CA",200
"407","Calhoun, GA",NA
"408","California, PA",175
"409","Callicoon, NY",NA
"410","Calumet City, IL",NA
"411","Camarillo, CA",NA
"412","Camas, WA",200
"413","Cambridge, MA",NA
"414","Cambridge, MD",NA
"415","Cambridge, NY",32
"416","Cambridge, OH",100
"417","Camden, DE",NA
"418","Camden, ME",NA
"419","Camden, NJ",NA
"420","Camdenton, MO",250
"421","Camp Hill, PA",196
"422","Canaan, NH",75
"423","Canajoharie, NY",14
"424","Canal Winchester, OH",50
"425","Canandaigua, NY",225
"426","Canfield, OH",130
"427","Canon City, CO",50
"428","Canonsburg, PA",NA
"429","Canova Park, FL",300
"430","Canton, GA",NA
"431","Canton, IL",NA
"432","Canton, MI",300
"433","Canton, MO",12
"434","Canton, NC",NA
"435","Canton, NY",NA
"436","Canton, OH",NA
"437","Canyon, TX",200
"438","Cape Giradeau, MO",36
"439","Cape Girardeau, MO",75
"440","Cape May Court House, NJ",NA
"441","Cape May, NJ",175
"442","Cape Vincent, NY",NA
"443","Capitola, CA",300
"444","Carbondale, IL",207.5
"445","Carbondale, PA",100
"446","Cardiff, CA",NA
"447","Carefree, AZ",2
"448","Caribou, ME",NA
"449","Carleton, MI",20
"450","Carlisle, PA",NA
"451","Carlsbad, CA",200
"452","Carlsbad, NM",31.3333333333333
"453","Carlstadt, NJ",80
"454","Carmel, IN",NA
"455","Carmel, NY",70
"456","Caro, MI",NA
"457","Carol Stream, IL",NA
"458","Carrollton, GA",NA
"459","Carrollton, OH",2
"460","Carrollton, TX",NA
"461","Carson City, NV",83.25
"462","Carson, CA",24
"463","Cartersville, GA",200
"464","Carterville, IL",100
"465","Carthage, TX",35
"466","Cary, NC",NA
"467","Casa Grande, AZ",NA
"468","Casper, WY",209.666666666667
"469","Castle Rock, CO",300
"470","Castro Valley, CA",NA
"471","Catasauqua, PA",NA
"472","Catonsville, MD",NA
"473","Catskill, NY",125
"474","Cazenovia, NY",24
"475","Cedar City, UT",135
"476","Cedar Hill, TX",NA
"477","Cedar Park, TX",NA
"478","Cedar Rapids, IA",NA
"479","Cedarburg, WI",NA
"480","Cedarhurst, NY",400
"481","Cedartown, GA",24
"482","Celina, TX",NA
"483","Center, TX",NA
"484","Centerville, OH",300
"485","Centralia, IL",75
"486","Centralia, WA",NA
"487","Centreville, MA",175
"488","Cerritos, CA",200
"489","Chadron, NE",NA
"490","Chagrin Falls, OH",149.5
"491","Chambersburg, PA",NA
"492","Champaign, IL",NA
"493","Chandler, AZ",NA
"494","Chapel Hill, NC",NA
"495","Charles City, IA",NA
"496","Charles Town, WV",500
"497","Charleston, IL",200
"498","Charleston, SC",NA
"499","Charleston, WV",NA
"500","Charlevoix, MI",NA
"501","Charlotte, NC",NA
"502","Charlottesville, VA",NA
"503","Chase City, VA",NA
"504","Chaska, MN",60
"505","Chatham, MA",40
"506","Chatsworth, CA",700
"507","Chattanooga, TN",NA
"508","Cheboygan, MI",100
"509","Chehalis, WA",NA
"510","Chelsea, MI",NA
"511","Chenoa, IL",NA
"512","Cherry Hill, NJ",200
"513","Cherry Valley, NY",NA
"514","Chesapeake, VA",NA
"515","Cheshire, CT",NA
