"","PLACEFIPS","PostGFProtestCount"
"723","1235890",2
"724","1236375",1
"725","1236550",4
"726","1236950",3
"727","1237375",1
"728","1237775",2
"729","1238250",7
"730","1239200",1
"731","1239425",4
"732","1239550",2
"733","1239875",1
"734","1239925",2
"735","1241250",1
"736","1241825",1
"737","1242400",1
"738","1242575",1
"739","1243083",2
"740","1243175",1
"741","1243975",4
"742","1245000",70
"743","1245025",2
"744","1245060",1
"745","1245100",3
"746","1245175",1
"747","1245225",1
"748","1245350",1
"749","1245750",2
"750","1245975",3
"751","1247050",3
"752","1247625",13
"753","1248050",2
"754","1248500",7
"755","1248625",4
"756","1248875",1
"757","1249225",1
"758","1249450",1
"759","1249675",1
"760","1250750",8
"761","1251075",1
"762","1251350",1
"763","1251650",1
"764","1252125",4
"765","1253000",61
"766","1253150",34
"767","1253425",1
"768","1253875",5
"769","1254000",2
"770","1254025",8
"771","1254075",3
"772","1254175",2
"773","1254200",2
"774","1254250",2
"775","1254350",2
"776","1254450",2
"777","1254525",2
"778","1254700",8
"779","1254725",2
"780","1255125",1
"781","1255775",3
"782","1255925",20
"783","1257250",1
"784","1257425",1
"785","1257550",2
"786","1258050",2
"787","1258350",4
"788","1258575",1
"789","1258715",2
"790","1259200",3
"791","1259325",1
"792","1259675",1
"793","1260950",2
"794","1260975",3
"795","1261500",1
"796","1261875",1
"797","1262500",15
"798","1262625",1
"799","1263000",49
"800","1263650",5
"801","1264175",20
"802","1264825",1
"803","1264875",4
"804","1267675",1
"805","1268100",1
"806","1268525",1
"807","1268875",7
"808","1269700",1
"809","1270075",1
"810","1270600",54
"811","1270675",1
"812","1271000",76
"813","1271225",3
"814","1271250",1
"815","1271400",1
"816","1271625",4
"817","1271900",2
"818","1274150",5
"819","1274368",2
"820","1275725",1
"821","1275812",4
"822","1275875",1
"823","1276500",2
"824","1276582",2
"825","1276600",28
"826","1277825",1
"827","1278000",1
"828","1278050",4
"829","1278300",1
"830","1279225",1
"831","1300408",2
"832","1301052",3
"833","1301696",3
"834","1302116",3
"835","1303440",62
"836","1304000",101
"837","1304204",23
"838","1304644",3
"839","1304896",1
"840","1308284",1
"841","1308844",1
"842","1310076",1
"843","1311560",6
"844","1311784",2
"845","1312400",2
"846","1312456",1
"847","1312988",2
"848","1313492",3
"849","1313688",2
"850","1314500",1
"851","1316544",1
"852","1316600",1
"853","1316656",1
"854","1316824",1
"855","1317328",1
"856","1319000",12
"857","1319336",2
"858","1320064",5
"859","1320288",1
"860","1320932",5
"861","1321184",1
"862","1321240",1
"863","1321380",5
"864","1322052",11
"865","1323900",1
"866","1324376",1
"867","1324600",3
"868","1324768",1
"869","1328044",4
"870","1328380",1
"871","1330732",1
"872","1331908",9
"873","1332048",1
"874","1335716",1
"875","1337144",1
"876","1337564",2
"877","1338124",1
"878","1338964",1
"879","1341596",1
"880","1341988",1
"881","1342100",1
"882","1342268",1
"883","1342425",2
"884","1342604",3
"885","1343192",4
"886","1343640",1
"887","1344340",7
"888","1345488",2
"889","1346356",1
"890","1346552",1
"891","1347784",1
"892","1347896",1
"893","1348624",5
"894","1349008",16
"895","1349100",6
"896","1349196",1
"897","1349532",1
"898","1349756",14
"899","1350036",1
"900","1351492",2
"901","1351670",1
"902","1352192",1
"903","1353060",5
"904","1355020",20
"905","1355776",1
"906","1357428",1
"907","1359724",2
"908","1360340",1
"909","1362328",1
"910","1365044",1
"911","1365324",4
"912","1365464",1
"913","1366668",10
"914","1368040",1
"915","1368208",1
"916","1368516",3
"917","1369000",32
"918","1371492",5
"919","1373256",4
"920","1373704",2
"921","1373784",1
"922","1373816",10
"923","1374936",6
"924","1375160",1
"925","1376224",6
"926","1376280",2
"927","1377652",1
"928","1378036",1
"929","1378800",9
"930","1380480",1
"931","1380508",6
"932","1380788",2
"933","1380956",1
"934","1380984",1
"935","1383420",1
"936","1384176",4
"937","1509260",1
"938","1512530",1
"939","1514650",38
"940","1520000",1
"941","1522700",5
"942","1523000",3
"943","1523150",1
"944","1528250",1
"945","1528850",2
"946","1530300",2
"947","1536500",1
"948","1541600",4
"949","1545200",5
"950","1551050",1
"951","1553300",1
"952","1553900",1
"953","1559900",1
"954","1571550",34
"955","1578500",1
"956","1606220",1
"957","1608830",190
"958","1612250",3
"959","1616750",24
"960","1622510",1
"961","1628990",3
"962","1634390",4
"963","1639700",8
"964","1643030",4
"965","1646540",4
"966","1652120",5
"967","1654550",11
"968","1656260",3
"969","1657250",1
"970","1661300",1
"971","1664090",5
"972","1667420",2
"973","1672100",8
"974","1682810",6
"975","1684250",1
"976","1700685",3
"977","1701114",3
"978","1701543",1
"979","1701595",1
"980","1702154",4
"981","1703012",4
"982","1703844",4
"983","1704078",2
"984","1704351",1
"985","1704845",9
"986","1705300",1
"987","1705573",1
"988","1706613",9
"989","1707133",1
"990","1707744",1
"991","1709447",3
"992","1710110",1
"993","1710487",1
"994","1711163",12
"995","1711332",1
"996","1711514",1
"997","1712164",1
"998","1712385",15
"999","1712567",2
"1000","1712931",1
"1001","1714000",238
"1002","1714351",2
"1003","1715599",1
"1004","1715833",1
"1005","1717887",8
"1006","1718563",2
"1007","1718823",12
"1008","1718992",6
"1009","1719161",8
"1010","1719642",2
"1011","1720162",1
"1012","1720591",2
